t38735aep|KAPR2_DROME,0.170166845523474
t38159aep|TPGS2_HUMAN,0.00872905644787066
t38172aep|CCD13_HUMAN,0.349509145578959
t38146aep|MLP_ACRMI,0.0277102607810287
t37750aep|ABHD8_BOVIN,0.0638470219031957
t37761aep|ADRB2_MOUSE,0.0277102607810287
t33040aep|IQCB1_MOUSE,0.0713385138665192
t33045aep|AT8B2_HUMAN,0.0684679490951767
t33073aep|PMGT1_BOVIN,0.777718543097481
t33048aep|CAN7_HUMAN,0.0594904978243259
t33060aep|TCB2_CAEBR,0.0277102607810287
t32607aep|SMYD4_PONAB,0.103538955328393
t32600aep|TRPA1_CAEEL,0.0120393259031676
t35677aep|PGDH_HUMAN,0.91420953252374
t35676aep|ANK3_HUMAN,0.027947196627871
t35674aep|ZRAB3_BOVIN,0.0073929843748609
t31426aep|ZN830_XENTR,0.102413297387583
t31412aep|FND3A_HUMAN,0.365371430697905
t31393aep|MEC2_CAEEL,0.327217949006581
t31400aep|WDR93_HUMAN,0.0366326559587172
t31424aep|CFA57_MOUSE,0.00351514333569011
t31425aep|RTBS_DROME,0.0277102607810287
t31408aep|TRF6A_XENLA,0.0116773093811074
t31430aep|ARGI1_HUMAN,0.864905924016641
t37485aep|UN93L_DROME,0.0550685399346668
t37782aep|EMAL4_XENTR,0.0268801301314585
t37796aep|DC2L1_HUMAN,0.0831454367539917
t37800aep|ZMYM1_HUMAN,0.0277102607810287
t37779aep|TRAF3_MOUSE,0.054418232891325
t37786aep|RTBS_DROME,0.0277102607810287
t37792aep|LACE1_HUMAN,0.0108306230909392
t37803aep|SPNS1_DANRE,0.0299922787642768
t35786aep|AP1G_DICDI,0.0373843684873062
t35801aep|NOS1_MOUSE,0.198142895999199
t34507aep|SAMD9_HUMAN,0.0442933279607681
t34532aep|TFF3_RAT,2.27574973736572
t34490aep|PK1L2_MOUSE,0.0216223669242479
t34509aep|RTJK_DROME,0.0550685399346668
t34517aep|ATG9A_PONAB,0.00236504074869361
t34502aep|TCB1_CAEBR,0.0550685399346668
t34520aep|AGRG4_HUMAN,0.0695598447848041
t34497aep|CHIT3_DROME,0.067008043325747
t37134aep|TILB_XENTR,0.00665510550394419
t37135aep|TRI37_MOUSE,0.132771453647346
t37168aep|M3K3_HUMAN,0.0257575239028999
t37145aep|ZCPW1_HUMAN,8.09246230215628e-05
t37136aep|MRE11_RAT,0.157346986015489
t37161aep|CFA69_PAPAN,0.00412226454300139
t36805aep|SZT2_MOUSE,0.0550685399346668
t36810aep|EFC10_MOUSE,0.0182774890334392
t36799aep|ZMYM1_HUMAN,0.0277102607810287
t31809aep|KPCA_RAT,0.0228558799843655
t31783aep|DMBT1_RABIT,1.14864494575319
t31788aep|PRKDC_XENLA,0.000639123276792196
t31804aep|P53_TETMU,0.0277102607810287
t31796aep|GTSF1_BOVIN,0.115061205078091
t36091aep|F166B_XENTR,0.094433964230128
t36106aep|USH1C_MOUSE,0.0411943474721246
t36128aep|CAH2_TRIHK,1.41667796393392
t31314aep|MFSD1_BOVIN,0.0353674746660111
t31311aep|NPA1P_HUMAN,0.0181505728838036
t31356aep|OTOF_HUMAN,4.70487955779967e-05
t31322aep|PGBD3_HUMAN,0.0277102607810287
t31354aep|CA2D4_HUMAN,0.0751258737060267
t31302aep|ZMYM1_HUMAN,0.0277102607810287
