t36922aep|KLC4_HUMAN,0.00898305494775122
t36933aep|ATG2B_HUMAN,0.070041801966404
t36934aep|KAPCB_HUMAN,0.00898305494775122
t36920aep|SWI5_HUMAN,0.0142267857539018
t35832aep|SPTN1_HUMAN,0.0943994498942434
t35835aep|IFT22_XENTR,0.078539737600885
t35007aep|NPFF2_HUMAN,0.00898305494775122
t35009aep|SPB10_BOVIN,0.152994763884379
t35008aep|OPN4_PHOSU,0.631174120948834
t35011aep|HEMK1_HUMAN,0.0324498568436799
t34999aep|SRBP1_PIG,0.823336543802881
t35003aep|CTNS_HUMAN,0.129647018656824
t35006aep|CER1_HUMAN,0.0142329580123508
t32094aep|TCB2_CAEBR,0.00898305494775122
t32106aep|TLN2_HUMAN,0.383325254922536
t32100aep|PRRT1_MOUSE,0.837108801936973
t32108aep|FITM2_XENTR,0.0174557309583676
t32104aep|ASIC1_MOUSE,0.0179556643073071
t32112aep|HACE1_HUMAN,0.0796432866344642
t32321aep|DYH7_HUMAN,0.0999715866140374
t32316aep|IPP_HUMAN,0.0289879293467552
t32319aep|AAPK2_HUMAN,0.00949911035968728
t32315aep|IN80B_HUMAN,0.0164655603959593
t36032aep|ABCA1_HUMAN,0.069303875563312
t36031aep|ANPRA_MOUSE,0.170104256071434
t35694aep|NLTP_MOUSE,0.0684197111503981
t35695aep|HMCN1_HUMAN,0.00898305494775122
t32136aep|ZDH11_MOUSE,0.873138599573518
t32148aep|DPOA2_HUMAN,0.00898305494775122
t32140aep|RAD2B_ARATH,0.0896309463067166
t37187aep|CDK7_HUMAN,0.0232325825668579
t37178aep|MSH3_MOUSE,0.0179556643073071
t38440aep|AGGF1_MOUSE,0.069425901238793
t36572aep|NLR1A_MOUSE,0.0347753435790294
t36565aep|TF29_SCHPO,0.0269179048754282
t33385aep|CDD_DICDI,0.133683032194452
t36571aep|FL2D_DANRE,0.0655624762588105
t36564aep|D19L3_HUMAN,0.0982659714238125
t36738aep|ZSCA2_MOUSE,0.00544427213777447
t36749aep|NEMP1_XENTR,0.0308879629894212
t36744aep|ZER1_HUMAN,0.0120201295234627
t36741aep|DYHC1_MOUSE,0.168585794629518
t38619aep|AL8A1_DANRE,0.129207597067436
t38616aep|G3ST1_HUMAN,0.00898305494775122
t34473aep|PGBD4_HUMAN,0.0179556643073071
t34467aep|GAPR1_MOUSE,0.920064368662246
t34465aep|NPHP4_MOUSE,0.0348526464554088
t34476aep|Y1199_DICDI,0.0411016652730261
t34475aep|LRIG2_HUMAN,0.399800041588303
t34477aep|HGH1_DROME,0.0892771720742372
t34674aep|KI16B_MOUSE,0.360770804004249
t34671aep|GT2D2_MOUSE,0.00585952673466162
t34686aep|CPMD8_HUMAN,0.0269179048754282
t34682aep|IPMK_HUMAN,0.265955136480888
t34670aep|VKORL_HUMAN,0.0548901993590575
t37727aep|KLC4_HUMAN,0.00898305494775122
t33393aep|TEAN2_MOUSE,0.00972904412671694
t37722aep|MEGF8_RAT,0.020462318524121
t37718aep|CFA45_HUMAN,0.478847794862921
t37731aep|S17A9_MOUSE,0.00898305494775122
t37729aep|KPCD3_MOUSE,0.3271398095737
t37723aep|INTU_BOVIN,0.00941620652638448
t32504aep|RPN2_PONAB,0.110433262361482
t32502aep|MKS3_RAT,0.0179556643073071
t32518aep|PTHD3_MOUSE,0.0280760870465445
t32517aep|IRF8_HUMAN,0.0127084071542815
t32519aep|PTR36_ARATH,0.207075937989486
t32498aep|KLC4_BOVIN,0.00898305494775122
t32515aep|ZFY26_BOVIN,0.03231670310352
t32516aep|DTNB_MOUSE,0.280203670500544
t32501aep|GPMI_ONCVO,0.405942287299901
t36975aep|DYH5_HUMAN,0.0367794563978812
t36989aep|GPX5_PIG,2.46530504077957
t36976aep|WBS22_MOUSE,0.126040441816186
t36977aep|ECT_ACRMI,0.00123110790093371
t36974aep|CNFNA_XENLA,0.0179556643073071
t36988aep|FAT4_HUMAN,0.00269630299186638
t37004aep|MICA2_RAT,0.0307496245780983
t37005aep|CPMD8_HUMAN,0.0358698527363095
t36996aep|MPIP1_HUMAN,0.141978388149422
t37006aep|SVIL_MOUSE,0.857149670147935
t35158aep|LITH_RAT,0.0113703844663838
t35160aep|ZN862_HUMAN,0.021838098848475
t35150aep|FEM1C_MOUSE,0.0277107434735532
t35146aep|ABR_BOVIN,0.232791012660292
t35144aep|NLTP_MOUSE,0.0887121071404905
t35149aep|5HT1F_HUMAN,0.0626646904062656
t35154aep|DJC17_BOVIN,0.0179354460150607
t37975aep|ZNHI1_HUMAN,0.0666281005226414
t37978aep|HDGF_RAT,0.0267599502186868
t37981aep|GAPR1_MOUSE,0.281980398336347
t37988aep|GLNA_PANAR,0.0715762143231589
t33517aep|OPSD2_MIZYE,0.00898305494775122
t33520aep|DDX17_MOUSE,0.292397880844899
t33519aep|CCD25_DANRE,0.0381781764531292
t33518aep|INT7_CHICK,0.0596455378485028
t38565aep|PDXK_HUMAN,0.00280180624803053
t38572aep|TADA1_RAT,0.0703969891637177
t38564aep|DEN2C_HUMAN,0.0989139044456949
t31271aep|GAB1_MESAU,0.176401513016507
t33775aep|UB2G2_PONAB,0.00999880432334686
t31934aep|MENG_LEPIN,0.0384226030509001
t31929aep|CERS6_HUMAN,0.34886781481188
t31936aep|PRRT1_MOUSE,0.140352669295977
t31931aep|ANK3_MOUSE,0.0985354755634481
t31941aep|ZNT10_MOUSE,0.0374687203066444
t31957aep|DOCK1_HUMAN,0.0417216982903336
t31930aep|GXN_ACRMI,0.631337250495323
t32739aep|CHM1B_CHICK,0.333267765720922
t32745aep|PRRT1_MOUSE,1.44837682526835
t32744aep|LMX1A_HUMAN,0.0283831559400885
t32747aep|ZIC2B_XENLA,0.590132478224518
t32740aep|KLC4_HUMAN,0.0117863744556012
t32755aep|RBCC1_MOUSE,0.0232515153331819
t33610aep|VP33A_RAT,0.244010549033578
t33592aep|ZNT1_HUMAN,0.0305450038347256
t33590aep|STS_HUMAN,0.00266419055779204
t32382aep|TCHP_DANRE,0.0158529302635784
t32370aep|CREB_HYDVD,0.218126920491156
t38591aep|CAPS1_RAT,0.00118421504523813
t38580aep|BCOR_HUMAN,0.0446517592081301
t38596aep|FUT3_BOVIN,0.00898305494775122
t38582aep|TTC24_HUMAN,0.0338151918618542
t38428aep|SIX6_HUMAN,0.00898305494775122
t38432aep|MYO3B_HUMAN,1.13179189021587
t38418aep|TMM19_XENTR,0.130301477474527
t38504aep|CATIP_DANRE,0.078189812841783
t38506aep|ANK2_HUMAN,0.281980398336347
t38509aep|DCDC2_MOUSE,1.07241614356506
t38510aep|ZN235_MOUSE,0.18831965225175
t38497aep|DDC_HUMAN,0.435498232098205
t38498aep|MARH1_HUMAN,0.000670797214357971
t31735aep|NOTU2_XENLA,0.176054192645335
t31732aep|F10C1_MOUSE,0.0112432699342437
t31729aep|FREM2_MOUSE,0.0921618862259377
t31741aep|FBP1_STRPU,0.00898305494775122
t31730aep|S2611_HUMAN,0.0483067512963996
t33104aep|SL9A8_HUMAN,0.0447079254666178
t33099aep|ASM_BOVIN,0.72680389588447
t33109aep|DAG1_BOVIN,0.00898305494775122
t37444aep|TRI37_HUMAN,0.00578217280111294
t37464aep|PK1L2_MOUSE,0.00499310674453233
t37460aep|TBCEL_RAT,0.0914528002876655
t37459aep|RTBS_DROME,0.00898305494775122
t36608aep|NCLN_DANRE,0.0230637367736156
t36604aep|LANC3_MOUSE,0.0117305309770912
t36591aep|ZMYM1_HUMAN,0.0288054107109727
t36612aep|ERIC3_HUMAN,0.127900812568682
t34698aep|TSSK3_HUMAN,0.00308574385580986
t34695aep|SORCN_SCHJA,0.0179556643073071
t34691aep|PLCL2_MOUSE,0.630832363407049
t32286aep|RIMS2_RAT,0.00720639781224865
t32283aep|PPBT_CHICK,1.15271339061447
t32296aep|HSP70_HYDVU,0.155596061364739
t32293aep|PKHM2_HUMAN,0.0108251840284023
t32272aep|FAT4_MOUSE,0.0179556643073071
t32909aep|F228B_MOUSE,0.0121922844365097
t32902aep|AFAD_HUMAN,0.371586776869947
t32901aep|APBP2_RAT,0.0111735529088214
t32927aep|RTJK_DROME,0.00898305494775122
t32343aep|GRT1A_DANRE,0.0997389327094368
t32349aep|CRJ1A_TRICY,0.0393953836418091
t32897aep|CASP2_CHICK,0.0229012005240376
t32866aep|PDD2L_CHICK,0.00126925209061205
t32873aep|TPMT_PSEAB,0.0658188207344881
t32875aep|RPAP3_MOUSE,0.0498234251952117
t32872aep|AMPN_RABIT,0.757810894907066
t32887aep|TOPB1_HUMAN,0.0175202789431421
t32888aep|ANR31_HUMAN,0.0242014069875153
t32894aep|MYO1A_MOUSE,0.00536601100579173
t32896aep|LOX5_RAT,0.00898305494775122
t37681aep|NFX1_BOVIN,0.0298536934783708
t37698aep|S18B1_MOUSE,0.077958521836983
t37694aep|THAP9_HUMAN,0.00898305494775122
t37695aep|ANPRA_MOUSE,0.00670026345996459
t33233aep|RAD1_PONAB,0.0179556643073071
t33224aep|CD047_MOUSE,0.154814414645438
t33225aep|CE350_HUMAN,0.0743875962855594
t33213aep|CEP44_XENTR,0.0453174785061955
t33205aep|KCNQ1_SQUAC,0.113194206396458
t33214aep|EXOS1_HUMAN,0.101789807336178
t33843aep|Y2R2_DROME,0.00898305494775122
t33844aep|RTJK_DROME,0.0358698527363095
t33855aep|RASF2_MOUSE,0.21444747746765
t33849aep|CATL_SARPE,3.18582417818216
t33858aep|RIMK_SYNPX,0.141132272077206
t33864aep|CNTP5_CANLF,0.0545130955941781
t33853aep|RN220_HUMAN,0.0719068470516398
t33869aep|OSBL8_MOUSE,0.090241727713295
t33868aep|CCS_PIG,0.0145624694717464
t33861aep|GCC1_HUMAN,0.0402812920848283
t33856aep|PARD3_HUMAN,0.142120800738699
t35776aep|KLC4_MOUSE,0.0958540252814293
t35771aep|RASEF_MOUSE,0.423273117756879
t35781aep|NISCH_HUMAN,0.0264103175371989
t37402aep|NAC1_CAVPO,0.0290180736823231
t37422aep|ADA12_MOUSE,1.23180306661442
