t28179aep|RM23_RAT,0.0510908057770597
t28189aep|DSLE_ARATH,0.0257207057807523
t13960aep|PIWL2_MOUSE,0.0138286197743366
t13972aep|S35B1_MOUSE,0.129443330385753
t28574aep|PTC1_MOUSE,0.015426110239516
t28564aep|RHG05_MOUSE,0.000804118829583499
t28571aep|S17A9_MOUSE,0.0134768755239422
t1226aep|NC2B_RAT,0.215878173970279
t1213aep|GDPD1_HUMAN,0.0954333563588801
t23544aep|PRY1_YEAST,0.0469080103560347
t23543aep|DIRA1_HUMAN,0.450361466864692
t23529aep|LTOR4_NEMVE,0.00224527791475569
t18834aep|NR1AA_DANRE,0.00688450197924545
t10087aep|IMP1L_HUMAN,0.113041370644603
t10078aep|NFYB_CHICK,0.0237177613667973
t26965aep|KIF27_MOUSE,0.0125980354234321
t24351aep|FUT11_RAT,1.44433000547556
t11075aep|PFKAM_HUMAN,0.0184226547140287
t11073aep|RAB24_HUMAN,0.136489714314336
t11090aep|ATRN1_MOUSE,0.00454153871420493
t11055aep|LWA_HYDEC,0.0855923462578697
t3690aep|SYCC_MACFA,0.62518965944932
t3656aep|MSS4_YEAST,0.0257207057807523
t12663aep|MCATL_BOVIN,0.0257207057807523
t14aep|MFSD6_PIG,2.69074380102803
t3aep|G3ST3_MOUSE,0.00944346174324498
t23853aep|FAT4_HUMAN,0.0305156680013415
t4aep|E2F5_HUMAN,0.287129308852689
t17575aep|ENDUB_DANRE,0.00519856015714428
t17610aep|S17B1_XENLA,0.385615798713109
t17571aep|AMT1_CAEEL,0.00307816510532939
t29186aep|SSPO_BOVIN,0.0760789467020566
t30268aep|TM241_XENLA,0.0257207057807523
t20787aep|SMIM7_IXOSC,0.0198239351254657
t20791aep|TALDO_RAT,0.00893327915297192
t30278aep|CEP63_CHICK,0.0154689598324503
t20788aep|TAF4_HUMAN,0.021091725015426
t30279aep|GORS2_HUMAN,0.0886762930484214
t24799aep|MGT5B_HUMAN,0.014853625450776
t24795aep|P4HTM_HUMAN,0.887092815065598
t24800aep|KCP_XENLA,0.000586397762695234
t3203aep|ZNRF2_DANRE,0.134478990061338
t12642aep|FOXL1_MOUSE,0.233546602886925
t12648aep|DUT_HUMAN,0.0893073901392066
t12110aep|EMC7_HUMAN,0.00717804547722017
t12100aep|RSPO2_HUMAN,0.0117017762033373
t16631aep|POMT1_DROME,0.0340196863794853
t16618aep|PA2B2_NOTSC,0.0528453095398206
t12673aep|OSCP1_RAT,0.00364353404048395
t16624aep|FKB14_MOUSE,2.05771944563009
t13326aep|KLF13_HUMAN,0.986646986196076
t26400aep|CONT_DROME,0.0257207057807523
t26401aep|CE112_HUMAN,0.0583659685995506
t14399aep|MMEL1_HUMAN,0.100738755294245
t12007aep|ERN2_MOUSE,0.0145068443413275
t12690aep|GMK2_ARATH,0.0257207057807523
t27751aep|PYX_DROME,0.0257207057807523
t12004aep|ICA69_HUMAN,0.69479464020143
t19649aep|ULK3_XENLA,0.00763149130941594
t19654aep|PPP5_RAT,0.0257207057807523
