t30736aep|RNOY_CRAGI,0.0137544064538854
t22547aep|ASIC1_HUMAN,0.0130711579049142
t4447aep|SRPRB_HUMAN,0.122334779932322
t4434aep|TCB1_CAEBR,0.0130711579049142
t25397aep|MED24_CHICK,0.0422170020718413
t18857aep|PRY1_YEAST,6.53478027195284
t28780aep|MLP_ACRMI,0.0130711579049142
t28796aep|M21D2_HUMAN,0.0365653517077808
t18893aep|ENPL_BOVIN,0.0497440283381283
t16101aep|EVA1C_HUMAN,0.0130711579049142
t28784aep|POC5_XENLA,0.0471055406767949
t29662aep|DOPR4_CAEEL,0.0130711579049142
t29006aep|Y381_RICFE,0.0517458382303825
t29005aep|GP2_CANLF,0.00292335445907092
t29003aep|EAA2_RAT,0.0997160458507646
t29004aep|FGRL1_RAT,0.0826684411332284
t31083aep|TRPM3_HUMAN,0.0199899055353145
t24455aep|SEPR_MOUSE,0.107521474561077
t24452aep|AA2BR_CHICK,0.0391334844677674
t24451aep|ST65G_MOUSE,0.00405096879429744
t2223aep|G3ST3_MOUSE,0.0130711579049142
t27833aep|CL056_HUMAN,0.0112337901521488
t29574aep|FBX22_MOUSE,0.0182992062776802
t29576aep|CFA57_MOUSE,0.0130711579049142
t29569aep|BDP1_HUMAN,0.0054505390435541
t27527aep|CC189_MOUSE,0.0130711579049142
t27525aep|MUC5B_CHICK,0.0056724310239385
t27530aep|HYDMA_HYDVU,0.0357957461610118
t11797aep|ENKUR_HUMAN,0.0672209300365782
t11798aep|DPOE2_MOUSE,0.00291055481251203
t24421aep|TRAF4_MOUSE,0.00205159276360512
t2198aep|ASPM_AOTVO,0.0130711579049142
t30622aep|DGLA_RAT,0.0142080743737607
t4316aep|DHTK1_PONAB,0.0338083188485091
t4296aep|KLC_DROME,0.0130711579049142
t4319aep|K1586_HUMAN,0.0130711579049142
t27882aep|OPN3_HUMAN,0.103836169994244
t13247aep|GGT1_HUMAN,0.671572270979659
t27881aep|FXL20_MOUSE,0.0130711579049142
t13244aep|S6A19_PONAB,0.210326968740854
t26873aep|ZSC31_HUMAN,0.0425078195946539
t26871aep|B4GN4_HUMAN,0.0261155544167622
t9684aep|R113A_HUMAN,0.0130711579049142
t25374aep|F221A_XENLA,0.0556422628452734
t25377aep|TC1A_CAEEL,0.0130711579049142
t25375aep|MF13A_CHICK,0.015273616381963
t25790aep|B4GN3_MOUSE,0.024680678697014
t25797aep|FBP1_STRPU,0.000770264946175285
t24667aep|CALM_PROMN,0.0130711579049142
t24668aep|NPY5R_CANLF,0.0130711579049142
t28440aep|CALM_HETTR,0.0130711579049142
t28448aep|PRRT1_MOUSE,0.031542825776738
t28436aep|CALM_METSE,0.0130711579049142
t28437aep|CALM_METSE,0.0405252329054156
t28441aep|NR2E1_HUMAN,0.0130711579049142
t28434aep|CTP5A_RAT,0.00491204864215815
t27547aep|ANK3_RAT,0.0261155544167622
t27549aep|DRC1_XENLA,0.0553929541542944
t27554aep|WDR35_RAT,0.0186124602306539
t11845aep|DRS7B_MOUSE,0.104512121348784
t27543aep|SMC2_XENLA,0.0983468859419053
t24577aep|CI117_XENTR,0.00145753860363193
t2568aep|GCY_STRPU,0.0130711579049142
t24589aep|MMP16_RAT,0.0130711579049142
t9189aep|SPRE_BOVIN,0.00294301567148346
t24584aep|NPDC1_HUMAN,0.152048726117163
t24592aep|GTR8_MOUSE,0.0130711579049142
t24883aep|S18B1_HUMAN,0.00345593433321116
t3324aep|AT1A_HYDVU,0.00555148772920632
t24877aep|TES_AOTNA,0.21370605902047
t3297aep|MMP27_HUMAN,2.73006372425657
t15141aep|ICK_HUMAN,0.0467363325768963
t28605aep|ENTP1_HUMAN,0.0806831276836067
t15172aep|PRS4_DROME,0.0130711579049142
t15164aep|BBS2_HUMAN,0.00753678901359754
t15157aep|SVEP1_HUMAN,0.925626757900085
t15155aep|TIKI2_MOUSE,0.0022556117232996
t26771aep|CATL_SARPE,0.00691842536307066
t13808aep|KCTD3_HUMAN,0.00162764529767547
t13820aep|BASS4_ORYSJ,1.97717517701781e-05
t13822aep|MEIG1_XENLA,0.209159285073638
t28157aep|PHYD1_DANRE,0.0319049832952558
t9187aep|HIPL2_MOUSE,0.311128247223052
t24644aep|GGHA_DICDI,0.0130711579049142
t2754aep|SYCE2_MOUSE,0.0130711579049142
t2757aep|SPO11_MOUSE,0.00817891896689333
t2731aep|ADA1A_ORYLA,0.0650911039400097
t19480aep|GP180_XENLA,0.000891350139454567
t29639aep|MADD_DROME,0.00185729646548961
