t37290aep|RIF1_MOUSE,0.19491951893019
t37307aep|SPTCS_HUMAN,0.0438582319777312
t37276aep|SETMR_HUMAN,0.0112554008473427
t37243aep|PK2L1_MOUSE,0.0157510026346736
t37256aep|PTPRS_RAT,0.0112554008473427
t37258aep|PTPRS_MOUSE,0.0112554008473427
t31525aep|HOBOT_DROME,0.00863583075511172
t31544aep|YVNF_AZOCH,0.00689868670847462
t31547aep|CNTRB_MOUSE,0.0560190393880066
t31245aep|ZN266_HUMAN,0.129545486192998
t31533aep|FRS5_ARATH,0.0112554008473427
t31516aep|GIN1_MACFA,0.0112554008473427
t34379aep|MET16_DANRE,0.148826814759093
t34386aep|ACD11_CAEEL,0.0591445806179324
t34387aep|YDJC_MOUSE,0.00602646496434502
t34401aep|WAP53_RAT,0.0659590451641828
t34425aep|ZMYM1_HUMAN,0.00736024561515311
t34367aep|PIWL1_HUMAN,0.0622700840358105
t34419aep|CHD1L_DANRE,0.132056802266142
t34377aep|SMAL1_RAT,0.00040250471919317
t34358aep|AGRG4_HUMAN,0.0112554008473427
t34413aep|ZNF84_HUMAN,0.157763288324171
t32566aep|RTJK_DROFU,0.0112554008473427
t32560aep|TOB1A_XENLA,0.104277303426294
t32526aep|TDRD3_MOUSE,0.126317912201512
t32551aep|CKAP5_HUMAN,0.258870427578357
t32542aep|TCB1_CAEBR,0.0112554008473427
t32528aep|RTJK_DROME,0.0336466167239425
t32529aep|LOXH1_MOUSE,0.00148352547648478
t32539aep|P52K_HUMAN,0.0112554008473427
t32549aep|NUD22_RAT,0.0451084980850079
t32573aep|RTBS_DROME,0.0112554008473427
t32545aep|AT1A_HYDVU,0.315207713566081
t32527aep|MOS1T_DROMA,0.0112554008473427
t32550aep|CAC1E_RABIT,0.0336466167239425
t38274aep|TOPRS_MOUSE,0.170774074646221
t38316aep|AB22G_ARATH,0.000960805306106337
t38275aep|CATIN_HUMAN,0.0699305502800743
t38256aep|ODFP2_CHICK,0.160813138633713
t38295aep|Y1931_DICDI,0.397998725900852
t38315aep|CP131_DANRE,0.0629333628333738
t38280aep|GRDP2_ARATH,0.0112554008473427
t38310aep|FGFR3_DANRE,0.0101264487459004
t32025aep|P52K_HUMAN,0.00581302302305001
t32029aep|TGS1_RAT,0.120900945885462
t32002aep|HMCN1_HUMAN,0.00950538214009511
t32046aep|BLM_XENLA,0.037256405790171
