t2603aep|IQCG_HUMAN,0.507632353076946
t24691aep|UACA_MOUSE,0.158892009356953
t31144aep|BOOH2_RHIMP,0.00104549211139652
t31202aep|HMCN2_MOUSE,0.00063736373275704
t31194aep|GPR98_DANRE,0.0025098013444107
t30595aep|PK1L2_HUMAN,0.00559679083382807
t30565aep|ZMYM1_HUMAN,0.0149610278119296
t21822aep|NAS6_CAEEL,0.037213036956491
t30580aep|YRD6_CAEEL,0.00685851513444666
t20710aep|MBIP1_HUMAN,0.022732747913017
t30134aep|RFX4_HUMAN,0.0653277217154865
t20689aep|ETV6_MOUSE,0.0397526414052978
t20716aep|SAM15_MOUSE,0.0191822444062978
t25627aep|ZMYM1_HUMAN,0.00761956415111195
t25630aep|LTBP4_HUMAN,0.0123008929587392
t5062aep|KTNB1_MOUSE,0.00313874850020291
t25683aep|Y165_RICPR,0.204422631599053
t25680aep|PROP_HUMAN,0.0155387944549635
t5068aep|APX1_HYDVD,0.688027465733169
t5055aep|S35B3_MOUSE,0.0155590662368829
t25677aep|RTJK_DROME,0.011919930089069
t5048aep|PDIA1_RABIT,0.32122739704721
t25189aep|SUREJ_STRPU,0.0123008929587392
t3917aep|CALM_SCHPO,0.0123008929587392
t3930aep|CDA1_SCHPO,0.00141264561017861
t25202aep|TC3A_CAEEL,0.00512260756848421
t25172aep|SAMD3_MOUSE,0.00599611832598383
t25134aep|RTJK_DROFU,0.00518614305920917
t25169aep|CNTN3_RAT,0.0123008929587392
t25213aep|AL14E_BOVIN,0.0123008929587392
t28114aep|RTJK_DROFU,0.0111666863726848
t448aep|KLC4_HUMAN,0.0123008929587392
t23987aep|TC1A_CAEEL,0.0611493600330531
t460aep|RSPH9_DANRE,0.00460374770808219
t447aep|DDAC_ENTAG,0.0245658710345943
t24014aep|Y2R2_DROME,0.0123008929587392
t23954aep|PKHL1_MOUSE,0.0305295734720766
t20768aep|BRAC_CANLF,0.018314360948
t30241aep|RTJK_DROME,0.0790332987150602
t14309aep|CALUB_SALSA,1.18763019674027
t28304aep|HMCN1_HUMAN,0.530655130479616
t28313aep|ZMYM1_HUMAN,0.0123008929587392
t28339aep|RTBS_DROME,0.0110340983856668
t14328aep|CUBN_HUMAN,0.0123008929587392
t28299aep|RTJK_DROFU,0.0123008929587392
t14316aep|OX2R_MOUSE,0.285493940817389
t27029aep|P52K_MOUSE,0.0123008929587392
t29864aep|AMPE_RAT,0.0123008929587392
t10258aep|NAS15_CAEEL,0.91232746212417
t1780aep|PRD13_MOUSE,0.0266790367039926
t1786aep|CP4V2_RAT,0.00828862699708732
t1769aep|NAS4_CAEEL,0.00539706518429816
t48aep|XBP1_MOUSE,0.121212589997561
t19618aep|ABHD6_BOVIN,0.428660592469386
t19631aep|DAAA_BACLI,0.0675198059201574
t10060aep|LIPG_RAT,0.0123008929587392
t2374aep|LIN41_CAEEL,0.0085329196346732
t24515aep|DYH8_HUMAN,0.0123008929587392
t2368aep|AGRL3_HUMAN,0.0791788192548181
t13485aep|NPHP3_HUMAN,0.0114003788772088
t13476aep|LBP_MOUSE,0.0123008929587392
t13499aep|GP126_HUMAN,0.0237439556448469
t13481aep|POL3_DROME,0.0123008929587392
t13480aep|EVA1C_PANTR,0.0207531935349218
t25615aep|CHI3_CANAL,5.69388659642346
