t32204aep|GON4L_HUMAN,0.0629026072036191
t32191aep|TC1A_CAEEL,0.116861127223053
t32187aep|GANAB_MOUSE,0.0899432223476245
t38720aep|RTKN_HUMAN,0.194580163899555
t38728aep|EPB1B_XENLA,0.0740275067553026
t38731aep|SAC2_DANRE,0.0688627372223511
t38159aep|TPGS2_HUMAN,0.0978799228898948
t38147aep|TCB2_CAEBR,0.116861127223053
t38154aep|S35E1_RAT,0.02172151478552
t38165aep|TYDP1_MOUSE,0.0620745060426583
t38172aep|CCD13_HUMAN,0.194184058849795
t38157aep|ABH15_MOUSE,0.151041133364244
t37750aep|ABHD8_BOVIN,0.0829721616335204
t37748aep|NATD1_XENTR,0.451455920046108
t37761aep|ADRB2_MOUSE,0.225715998132305
t37760aep|RTJK_DROME,0.104786561970042
t33063aep|GRP78_CHICK,1.74249337346412
t33040aep|IQCB1_MOUSE,0.144000941094667
t33048aep|CAN7_HUMAN,0.0151578984831894
t33047aep|HKR1_HUMAN,0.101392722056629
t35655aep|NPHP3_HUMAN,0.214444727480457
t35677aep|PGDH_HUMAN,0.920867230167642
t31398aep|ANPRB_HUMAN,0.161487238144127
t31412aep|FND3A_HUMAN,0.494554530304799
t31393aep|MEC2_CAEEL,0.204782473296115
t31399aep|EGTB_MYCS2,0.116861127223053
t31410aep|ANKF1_HUMAN,0.515697942119453
t37797aep|TRI56_MOUSE,0.316625131190562
t37796aep|DC2L1_HUMAN,0.0130596044914504
t37779aep|TRAF3_MOUSE,0.0931872715380359
t37786aep|RTBS_DROME,0.116861127223053
t37792aep|LACE1_HUMAN,0.256383568834927
t37798aep|HMCN1_HUMAN,0.127764120950959
t37787aep|TRM11_BOVIN,0.0542680816327584
t35786aep|AP1G_DICDI,0.459374908157376
t35816aep|GIN1_HUMAN,0.116861127223053
t35817aep|GIN1_RAT,0.116861127223053
t35785aep|KCNA1_RAT,1.32037249453994
t35823aep|FYCO1_MOUSE,0.142206536713583
t34490aep|PK1L2_MOUSE,0.110773233366272
t34493aep|VPP1_MOUSE,0.17897039768461
t34536aep|NALP7_HUMAN,0.0581622903779672
t37134aep|TILB_XENTR,0.150285307536928
t37151aep|ANR28_MOUSE,0.00740013387424483
t37135aep|TRI37_MOUSE,0.326091799319555
t37168aep|M3K3_HUMAN,0.133664681792177
t37152aep|MACF1_HUMAN,0.564431174589351
t37137aep|TET2_HUMAN,0.176296830844833
t37164aep|PSD10_DICDI,0.0869505281360629
t36793aep|CUBN_HUMAN,0.116861127223053
t36805aep|SZT2_MOUSE,0.181434917658117
t36813aep|KCNQ2_MOUSE,0.116861127223053
t36774aep|GGT1_RAT,0.136896197874903
t36788aep|K0100_MOUSE,0.0970587307208158
t36799aep|ZMYM1_HUMAN,0.225715998132305
t36785aep|PGBD4_HUMAN,0.116861127223053
t31809aep|KPCA_RAT,1.45252750902783
t31788aep|PRKDC_XENLA,0.0897899897188165
t36106aep|USH1C_MOUSE,0.184824549505108
t36104aep|SDK1_HUMAN,0.0699454480772305
t31319aep|RTXE_DROME,0.116861127223053
t31320aep|NALP7_HUMAN,0.103153196387774
t31354aep|CA2D4_HUMAN,1.57744598579647
t31341aep|DNLI3_HUMAN,0.0381109601774042
t31303aep|AB1IP_CHICK,1.19550811322598
t31358aep|UBX11_RAT,0.234875149014127
t31357aep|LRRC9_HUMAN,0.263023077956501
t31317aep|SPN90_MOUSE,0.0476211661511531
t31316aep|ROR1_HUMAN,0.56752920743923
t31333aep|WSDU1_DANRE,0.0642339290097962
t37247aep|NAS13_CAEEL,0.117290317098083
t37310aep|TMC7_HUMAN,0.341222429314536
t37309aep|WHRN_HUMAN,0.0761728758893156
t37250aep|SMG8_CULQU,0.0429702719738239
t37290aep|RIF1_MOUSE,0.00439279940603482
t37243aep|PK2L1_MOUSE,0.110141340249523
t37257aep|PTPRS_MOUSE,0.116861127223053
t31485aep|TOR1A_MACFA,0.0594897060306142
t31478aep|TCB2_CAEBR,0.116861127223053
t31534aep|RTXE_DROME,0.225715998132305
t31547aep|CNTRB_MOUSE,0.0187886229886927
t31245aep|ZN266_HUMAN,0.356773575621749
t31502aep|FGFR3_CHICK,0.116861127223053
