t1563aep|YJ2B_SCHPO,0.0282229396523103
t25744aep|BTBD7_HUMAN,0.144840705582684
t19811aep|KLC4_HUMAN,0.0282229396523103
t29818aep|TRAF6_DANRE,0.00938673585080325
t17394aep|CD151_BOVIN,0.0282229396523103
t27265aep|GALE_BACSU,0.110876480983503
t27269aep|NAS13_CAEEL,0.0169675388049678
t27259aep|THAP9_HUMAN,0.0282229396523103
t27256aep|DYH10_HUMAN,0.0282229396523103
t24828aep|ENPP4_XENLA,0.190715476691026
t25553aep|TCB1_CAEBR,0.0185176305989553
t25551aep|TTC28_MOUSE,0.0369594268594215
t24912aep|ANAG_HUMAN,0.013231976804364
t24889aep|TCB2_CAEBR,0.0282229396523103
t24887aep|TIAM2_MOUSE,0.0506582770623671
t2590aep|ZDH16_HUMAN,0.00321919531614176
t25496aep|AOSL_PLEHO,0.0639753077164816
t25501aep|CEL3B_MOUSE,6.91769242831649
t30012aep|LRRK2_MOUSE,0.0256256437825159
t30001aep|CO1A2_MOUSE,0.00666594619111535
t30000aep|CSL3_ONCKE,0.0445726629190488
t29982aep|TXND5_MOUSE,0.0365306850841645
t25855aep|MRC1_HUMAN,0.0193739187150082
t26572aep|KCA10_CHICK,0.0514780545478917
t8278aep|HRH2_PONPY,0.0282229396523103
t26562aep|PPAP_BOVIN,0.0561030057918745
t8307aep|NFIC_MOUSE,0.00602721487905522
t8306aep|CF165_MOUSE,0.0282229396523103
t28246aep|DNJ21_ARATH,0.0282229396523103
t14247aep|GLUCL_DROME,0.0544148228342974
t29760aep|KIF12_HUMAN,0.0513515886657643
t19746aep|DMX1B_DANRE,0.00314041490153882
t2858aep|RIMB2_MOUSE,4.81219495814901e-05
t2837aep|LOXH1_HUMAN,0.00547639170505082
t24687aep|TRY3_SALSA,7.98981966472525
t2603aep|IQCG_HUMAN,0.42503987358194
t24740aep|TCB2_CAEBR,0.00500157837407207
t2845aep|RUNX1_HUMAN,0.0282229396523103
t31200aep|AT133_MOUSE,0.0115743306389832
t23787aep|RPC5_MOUSE,0.00434527675744213
t21826aep|RM32_DROME,0.00556386708905376
t21810aep|NDF1_HUMAN,0.0282229396523103
t21822aep|NAS6_CAEEL,0.0215031526787801
t30134aep|RFX4_HUMAN,0.0565550181732716
t20689aep|ETV6_MOUSE,0.046865940731105
t20716aep|SAM15_MOUSE,0.0507193791635782
t30140aep|YRD6_CAEEL,0.0156670627507286
t25683aep|Y165_RICPR,0.131230985751126
t25680aep|PROP_HUMAN,0.0191958630726795
t5068aep|APX1_HYDVD,0.474906502628947
t5055aep|S35B3_MOUSE,0.0502201682320025
t25698aep|GIN1_HUMAN,0.0561030057918745
t3930aep|CDA1_SCHPO,0.0173346923037495
t3948aep|BACE1_HUMAN,0.0174477276784117
t25163aep|COKA1_MOUSE,0.0404408614084918
t25134aep|RTJK_DROFU,0.00884321167692519
t28059aep|ADAT3_DANRE,0.0282229396523103
t28075aep|F200A_MACFA,0.0282229396523103
t28099aep|GIN1_BOVIN,0.0622210484376749
t23987aep|TC1A_CAEEL,0.0282229396523103
t460aep|RSPH9_DANRE,0.0472338627982273
t457aep|ADHE_CLOAB,0.0091964385679421
t436aep|YPEL1_HUMAN,0.0451921487125061
t447aep|DDAC_ENTAG,0.0282229396523103
t23954aep|PKHL1_MOUSE,0.00976280665831911
t20768aep|BRAC_CANLF,0.0219714295657159
t30241aep|RTJK_DROME,0.0186690292284245
t30215aep|VWDE_HUMAN,0.0192134451932126
t14309aep|CALUB_SALSA,0.999300980925311
t28304aep|HMCN1_HUMAN,0.580500975135934
t28313aep|ZMYM1_HUMAN,0.0282229396523103
t28339aep|RTBS_DROME,0.0146911670033828
t14328aep|CUBN_HUMAN,0.0282229396523103
t14298aep|IGFBP_CUPSA,0.0126073786704287
t14316aep|OX2R_MOUSE,0.357415041681528
t27034aep|ZMYM5_MACFA,0.0282229396523103
t10258aep|NAS15_CAEEL,0.599962043218264
t1780aep|PRD13_MOUSE,0.0181066345583118
t1759aep|DDX49_HUMAN,0.0146571008048134
t1769aep|NAS4_CAEEL,0.00905413380201433
t48aep|XBP1_MOUSE,0.069682403530035
t45aep|PLPL7_MOUSE,3.50490498974244e-06
t15393aep|SOX4_MOUSE,0.0358039493071578
t19618aep|ABHD6_BOVIN,0.313261098810601
t19631aep|DAAA_BACLI,0.0177708991302933
t709aep|NTAN1_PIG,0.0150753510068092
t10070aep|ELOV2_MOUSE,0.0100707370878196
t10067aep|SNX11_MOUSE,0.0457459755276904
t2387aep|CK5P3_RAT,0.115437029112193
t13485aep|NPHP3_HUMAN,0.0150574474949251
t13496aep|S40A1_DANRE,0.00104700830293536
t13480aep|EVA1C_PANTR,0.0400608575288053
t25615aep|CHI3_CANAL,5.20591194680293
t4988aep|INHB_DROME,0.0282229396523103
t27994aep|CHIA_RAT,3.51334655196559
t13623aep|FUCO_HUMAN,0.0646717316792127
t9701aep|CPP1_ACRMI,0.057943049231027
t30314aep|A6907_ARTBC,0.0279036509209432
t29708aep|FUCTC_DROME,0.0561030057918745
t24291aep|HEXC_BOMMO,2.60538741743224
t22254aep|VEGFA_BITGA,0.851662698394795
t18025aep|ECT_ACRMI,0.00541618346544316
t25625aep|DDC_RAT,0.110876480983503
t25624aep|BMP7_MOUSE,0.0282229396523103
t15917aep|DCE2_PIG,0.0186180964296457
t15899aep|RBM18_XENLA,0.0268377166153185
t1105aep|FBLN4_HUMAN,0.187760376842911
t1119aep|BLC_VIBCH,0.0436872675095578
t1098aep|NAS15_CAEEL,3.77581507576359
t20269aep|DELE_HUMAN,0.00903606957122282
t20262aep|MRC2_HUMAN,4.3678857237202
t17825aep|CE57L_XENLA,0.00372601026463324
t17832aep|LIPR2_MYOCO,0.0517393756306084
t19026aep|UHRF1_XENTR,0.00808338159369468
t19027aep|LRC34_MOUSE,0.0476586732105597
t3608aep|ITFG2_MOUSE,0.00745275557073063
t3610aep|CEL3B_MOUSE,1.48728136032705
t3617aep|HES2_RAT,0.359352687480843
t13169aep|ADA1A_HUMAN,0.122902950404078
t19857aep|NEK9_XENLA,0.0339072810186194
t19057aep|ACM4_MOUSE,0.083650808461187
t10009aep|KCNA2_RABIT,0.0167744407595491
t23209aep|A1CF_PONAB,0.158123167999269
t8607aep|SYT15_HUMAN,0.102027460046201
t30711aep|CCD57_HUMAN,0.00401086830798139
t6461aep|NPHP3_HUMAN,0.0220536498006044
t27488aep|KCP4_PINMG,0.0358446603009637
t11676aep|5HT1A_PANTR,0.0282229396523103
t22326aep|ACT17_DICDI,0.0150287499405096
t9440aep|GDF8_CAPIB,0.00622435026020341
t9463aep|RBBP9_HUMAN,0.00151516774928627
t22338aep|YR571_MIMIV,0.0383387144536589
t9447aep|SUP9_CAEEL,0.0892582483036935
t9449aep|PROF4_BOVIN,0.019910681918917
t30318aep|CTR2_CANLF,0.0722571106631251
t21128aep|ESRP1_RAT,0.00366382998733871
t21146aep|CPNE6_MOUSE,0.0282229396523103
t17141aep|MFSD6_PIG,0.0282229396523103
t17138aep|PP16A_MOUSE,0.0104199444963797
t8911aep|ATS10_HUMAN,0.0141875832906138
t8898aep|CASP8_RAT,0.00684521417758836
t22300aep|ADRB2_CAVPO,0.0996152785678778
t28952aep|LAMB2_HUMAN,0.0165017426942884
t22315aep|SBSPO_HUMAN,0.0581927206715979
t6066aep|ELOV4_MOUSE,0.0683894909335969
t9437aep|LFG2_BOVIN,0.00746004110820374
t26815aep|MED17_MOUSE,0.00544924260021209
t19321aep|STOX1_MOUSE,0.0282229396523103
t19346aep|KLC4_MOUSE,0.0168122787321856
t19316aep|MEP1B_MOUSE,0.282763932407911
t7252aep|SUP9_CAEEL,0.0561030057918745
t7262aep|ELOV4_MACMU,0.00241135322990567
t11467aep|PAX6_XENLA,1.27317507526094
t14555aep|PRD13_MOUSE,0.0282229396523103
t14527aep|MCPI_MELCP,0.00475760534165805
t12562aep|ASCL4_HUMAN,1.77981209240321
t12558aep|TPM1_PODCA,0.0561030057918745
t2957aep|YUGO_BACSU,0.00122539944701046
t2965aep|SYCP1_MOUSE,0.0160613873314969
t16538aep|PAG15_HUMAN,0.0242186044898848
t16550aep|MSI2H_HUMAN,0.000472693601980737
t14042aep|PEBB_HUMAN,0.0707351414844687
t16687aep|B3GN6_MOUSE,0.0176298521311081
t16677aep|NEK2_HUMAN,0.0117835856390459
t1986aep|KPSH1_DANRE,0.0282229396523103
t1982aep|ATG4C_MOUSE,0.0162620990435113
t1978aep|FBLN1_HUMAN,0.0282229396523103
t28202aep|MT810_ARATH,0.0225272845033061
t11707aep|WNT4_CHICK,0.0282229396523103
t6699aep|S5A2_MACFA,0.00798474845252817
t6725aep|BAT1_RABIT,0.0611723526270656
t11754aep|RPC8_HUMAN,0.0460533064497655
t25961aep|PDE2A_BOVIN,0.00475760534165805
t28689aep|FUCO_BRAFL,0.503811667302331
t7627aep|GLY1_CANAX,0.0282229396523103
t25581aep|TM175_CHICK,0.0282229396523103
t13995aep|FBP1_STRPU,0.000472693601980737
t13996aep|FBP1_STRPU,0.0812744224465374
t27641aep|AT5G2_HUMAN,0.0838789407782028
t25911aep|ZMYM1_HUMAN,0.0561030057918745
t15687aep|EVA1C_MOUSE,0.104142909983323
t12950aep|TICRR_HUMAN,0.0105397270911592
t12955aep|TRF6B_XENLA,0.0282229396523103
t12948aep|FOXN4_DANRE,0.0282229396523103
t1608aep|ACHA7_MACMU,0.0445726629190488
t1637aep|ZN408_HUMAN,0.00949697492839488
t9390aep|THADA_MOUSE,0.0193739187150082
t9395aep|PLPL9_RAT,0.0620991262629426
t7488aep|PPR27_MOUSE,0.0380641101119409
t7500aep|NCPR_MUSDO,0.0282229396523103
t9084aep|CFA54_HUMAN,0.0152432293008205
t9111aep|XFIN_XENLA,0.0220333487142824
t9082aep|IMB1_MOUSE,0.0282229396523103
t9091aep|CC067_MOUSE,0.0459080757892849
t9085aep|SLD5_MOUSE,0.00156407288808387
t4239aep|LMIP_RAT,0.0354275963735335
t4271aep|OCTB1_DROME,0.164399752015222
t11183aep|ASNS_CHICK,0.0335684927975806
t11191aep|CLVS1_XENLA,0.0116070732699711
t17510aep|BAX_BOVIN,0.671341588115336
t5387aep|CHIT1_HUMAN,0.121747559829101
t16866aep|DRGX_MOUSE,0.0282229396523103
t21678aep|ZMYM1_HUMAN,0.0282229396523103
t21689aep|MFS10_BOVIN,0.0282229396523103
t21690aep|MFS10_BOVIN,0.0185597045211772
t21666aep|CYSP1_HOMAM,0.00900157574054199
t30397aep|CNNM1_HUMAN,0.0282229396523103
t21293aep|POC1B_PONAB,0.0656498736209182
t296aep|CO1A2_MOUSE,0.00628064777456273
t23810aep|NUCB2_RAT,0.404918192494239
t23813aep|PIGL_RAT,0.110876480983503
t23837aep|SOX2_CAEEL,0.0282229396523103
t28017aep|ACM2_CAEEL,0.13778970809217
t20351aep|SVEP1_HUMAN,0.184360273588652
t13651aep|HTF4_PAPHA,0.166289763920591
t13661aep|ZDH11_ARATH,0.0198136353748568
t15432aep|ATOH8_DANRE,0.131726107973374
t15418aep|CHI2_TOBAC,4.38647761107619
t15415aep|TXD16_HUMAN,0.0497478026895011
t6928aep|CENPC_MOUSE,0.00552169985531146
