t37902aep|TRAF4_HUMAN,0.155534065262648
t37336aep|ZMYM1_HUMAN,0.065919605266511
t31773aep|OST4_RAT,0.247462816015699
t32083aep|OPN4_BRABE,0.202159794073158
t32087aep|RPC9_BOVIN,0.0631820589503692
t34039aep|BAI1_MOUSE,0.107156618710669
t31596aep|HSP13_HUMAN,0.0103347463016052
t37601aep|PROF_SUBDO,0.052222049815539
t37605aep|RFA3_MOUSE,0.0923777449873485
t36826aep|LYAG_RAT,0.0363625500783383
t36827aep|CAC1D_MESAU,0.0492927995949561
t36289aep|FRG1_TAKRU,0.0179034311422566
t37199aep|L12R1_BOVIN,0.00911983734173492
t37209aep|TRAF6_BOVIN,0.0941418928043554
t34847aep|Y165_RICPR,0.0363625500783383
t36770aep|BAP1_DANRE,0.0233968395199964
t32446aep|K0513_HUMAN,0.0981346401075586
t34857aep|U390_DANRE,0.127120527484557
t34853aep|FUT4_HUMAN,1.15909283243361
t36424aep|Y1101_SYNY3,0.249670291949322
t33571aep|NPY4R_RAT,0.0363625500783383
t34911aep|HSP70_HYDVU,0.31854723303759
t35745aep|OARD1_MOUSE,0.649058690864178
t33748aep|FGFR3_HUMAN,0.0264461182223089
t34983aep|RTJK_DROME,0.0363625500783383
t35278aep|NOP10_DANRE,0.00674033143943264
t34116aep|CFA57_MOUSE,0.0363625500783383
t34113aep|SPCS1_DROME,0.690568538812321
t34121aep|YETS2_MOUSE,0.0202811063585119
t34069aep|ERIP6_HUMAN,0.294747975005804
t34075aep|HYDIN_MOUSE,0.076709860394773
t34083aep|OCAD1_DANRE,0.00056067532195757
t32705aep|GEMI6_HUMAN,0.0479531599274835
t34818aep|DUS22_HUMAN,0.00654699230708439
t34821aep|CTP5A_MOUSE,0.107156618710669
t36641aep|ELMD3_BOVIN,0.0324066859793146
t34642aep|ASNA_NEMVE,0.0625222750315998
t34640aep|ARF_MAIZE,0.0993714365770421
t38004aep|TM242_DANRE,0.0084850263605548
t35628aep|CENPS_XENLA,0.0481297483952936
t35636aep|GLRX_RICCO,0.0551676536007676
t36138aep|RCAN1_PONAB,0.0352995925440581
t35637aep|RNF11_MOUSE,0.104552477629396
t33335aep|PIGP_MOUSE,0.0537966103837311
t34627aep|COXM1_BOVIN,0.0350682750272289
t34633aep|TF2H5_CHICK,0.0273794951305869
t34637aep|RS11_MAGSA,0.0581493490346291
t35109aep|COX17_CANLF,0.100653060995338
t34594aep|TARB1_HUMAN,0.0936414187949655
t34316aep|HYPK_MOUSE,0.0581668996499447
t31554aep|CYT_NOTSC,0.290094042234779
t31473aep|ASF1A_ARATH,0.0363625500783383
t33313aep|EMC4_XENTR,0.124268698396427
t36854aep|CMTR2_DANRE,0.00331260449026118
t32076aep|CFA52_CHLRE,0.0363625500783383
t36890aep|MYO7A_MOUSE,0.0363625500783383
t31257aep|DYH5_MOUSE,0.0363625500783383
t38088aep|ROBO3_HUMAN,0.0855020198362967
t36448aep|RL27_HIPCM,0.0251355246520611
t35274aep|RAB32_HUMAN,0.00389645731703315
t37429aep|ACSM3_MOUSE,0.0823565134971169
t32123aep|KLC_DROME,0.0363625500783383
t32133aep|SCOCB_DANRE,0.0275217315619585
t37825aep|TM14C_DANRE,0.239297356134474
t37833aep|CI116_SALSA,0.326674284685141
t36013aep|GSTT1_BOVIN,0.00293190984915348
t36020aep|ADCY9_MOUSE,0.272728148036501
t36278aep|KAD6_BOVIN,0.182814431262753
t33788aep|MCAF1_HUMAN,0.0363625500783383
t38349aep|UCPB_DICDI,0.0363625500783383
t32947aep|FACE2_DROME,0.00268201863999044
t32407aep|CLCN7_RAT,0.0363625500783383
t31640aep|GP2_CANLF,0.0363625500783383
t34968aep|RM15_DANRE,0.124731295647945
t34827aep|RPB7_RAT,0.0663833938318267
t34831aep|MTH2_DROYA,0.0877722805010847
t33817aep|MEA1_BOVIN,0.018766834222327
t33911aep|RL36_IXOSC,0.0401806725488404
t38546aep|PELET_DROME,0.0302746562215573
t32679aep|HSP70_HYDVU,0.356205250527082
t36752aep|ZSWM7_HUMAN,0.0971805012349462
t31379aep|S35A3_BOVIN,0.0548321001413866
t36298aep|CO061_HUMAN,0.0201878120292452
t36301aep|MCPI_MELCP,0.00750619779447974
t31672aep|BET1_MOUSE,0.113393663653814
t34733aep|MCPI_MELCP,0.254818957411372
t34781aep|SET1_YEAST,0.0158404044547301
t31980aep|DPM1_CRIGR,0.85131024558733
t32862aep|T112B_ARATH,0.183119002961497
t36347aep|PRPK_HUMAN,0.0848214512942036
t36346aep|OPN3_MOUSE,0.0573288889385948
t33670aep|NADA_APLKU,0.0909872267612339
t33829aep|MLP_ACRMI,1.41633140900655
t33564aep|LIAS_BRAFL,0.0434767309638158
t33567aep|RSLBB_DANRE,0.0110963140577066
t33558aep|NALP9_BOVIN,0.0363625500783383
t34663aep|DYH10_HUMAN,0.0720723378083549
t38050aep|FBXW9_BOVIN,0.0211031887628975
t38053aep|GNPTA_DANRE,0.00869303470950378
t38059aep|FOXN3_HUMAN,0.0951892111390173
t36479aep|SETMR_HUMAN,0.0363625500783383
t34775aep|YJBQ_ECOLI,0.168970833352699
t36310aep|CPI1_PIG,0.0415602865684763
t38701aep|COA1_HUMAN,0.0166014335418053
