t38376aep|FLOWR_DROVI,1.28680148324917
t38381aep|SSRB_CANLF,1.6057888268288
t32653aep|DRAM2_MOUSE,0.0624545452878409
t32650aep|RL17_PODCA,0.0341318662856958
t33926aep|TEAD1_HUMAN,0.122821085325695
t37848aep|GHC2_RAT,0.0437170124669519
t37087aep|REV1_HUMAN,0.0541422875544477
t26085aep|TBA_LYTPI,1.08928858120302
t26076aep|JAZF1_MOUSE,1.05762201211892
t5701aep|AXIN1_HUMAN,0.0353862729053471
t20400aep|DCNL4_MOUSE,0.0466061887812648
t1171aep|TOB1_HUMAN,0.0907354315942456
t1172aep|STX17_HUMAN,0.0251419553272176
t10143aep|OSA_DROME,0.0749405267458838
t25928aep|FPPS_BOVIN,0.0150137166471749
t28853aep|ADAT2_BOVIN,0.15166391116221
t14505aep|GAS2_MOUSE,0.139532677297661
t4082aep|PDCD6_HUMAN,0.108254595271371
t4094aep|COQ7_MOUSE,0.0777436333865624
t4083aep|NHLC2_HUMAN,0.0684648350462654
t24342aep|ADCK4_DANRE,0.0334515192324891
t1842aep|AP5Z1_HUMAN,0.00829951106252341
t1839aep|PRC1_HUMAN,0.00462590432212649
t1826aep|TRI33_XENLA,0.167615441268512
t25924aep|GAPD1_XENLA,0.0557209742876608
t30495aep|GSLG1_CHICK,0.583386230040173
t30490aep|RGS13_HUMAN,1.37770215879907
t26441aep|CCR3_RAT,0.0624545452878409
t26434aep|NFH_MOUSE,1.48265701258108
t7690aep|RFT1_HUMAN,0.00849602526840716
t25306aep|COPE_PONAB,0.240786821552778
t25307aep|KCTD9_HUMAN,0.0624545452878409
t12898aep|NPHP3_XENLA,0.122821085325695
t4216aep|UFSP2_MOUSE,0.0938708598235936
t27790aep|NDUAD_HUMAN,0.260736378207935
t28473aep|GAPR1_HUMAN,0.726996359384345
t14418aep|CPTP_DANRE,0.00463758969570554
t14427aep|FAK1_HUMAN,0.0113856529660993
t14413aep|CP17A_RANDY,0.0624545452878409
t18740aep|IF2P_HUMAN,0.0519191429926474
t27873aep|TRPA1_CAEEL,0.0624545452878409
t26389aep|TX261_RAT,0.0167929299662892
t7544aep|M17L2_DANRE,0.00864716551385725
t12896aep|CTR9_MOUSE,0.00206597007334786
t26395aep|DYHC_TRIGR,0.0495298061499529
t26394aep|TMED7_HUMAN,1.34358718534689
t7555aep|TIC32_ARATH,0.0624545452878409
t26398aep|IDE_BOVIN,0.00726702051875238
t29730aep|CHSTB_RAT,0.0434854650870748
t19697aep|RERE_HUMAN,0.156105342037086
t29717aep|RWA1_ARATH,0.688256973026482
t19681aep|SPIR2_HUMAN,0.020169137081355
t29729aep|OFD1_DANRE,0.0445092802103394
t24854aep|PRY1_YEAST,0.148372848300543
t24862aep|TATD3_MOUSE,0.101509146568735
t3271aep|IGS10_HUMAN,0.104069623510253
t24865aep|AGRB3_MOUSE,0.942675748124523
t26171aep|PTN13_HUMAN,0.0115148142845171
t25717aep|PRDX4_BOVIN,0.282415656142589
t25706aep|PRFA_POLPE,0.0415365260038634
t21322aep|SOX14_DANRE,0.0378997813403627
t26278aep|TREF1_HUMAN,0.08704735388737
t7311aep|AATC_RAT,0.0108107213391016
t7287aep|ING3_MOUSE,0.0088273299461466
t7289aep|QCR2_BOVIN,0.154086722952584
t4520aep|SRPRA_DROME,0.423171192787692
t4556aep|ARFG2_MOUSE,0.128180626471049
t4557aep|CBPB_ASTAS,0.292828060974948
t4564aep|XBP1_MOUSE,0.309473801325689
t4539aep|CEL2A_PIG,0.112242385037227
t4537aep|SIN3A_MOUSE,0.0858091812163096
t13964aep|SC16A_HUMAN,0.737773578856654
t13948aep|SC11C_MOUSE,0.542060140153599
t28188aep|AQP9_HUMAN,0.0624545452878409
t13972aep|S35B1_MOUSE,0.63162998585946
t28564aep|RHG05_MOUSE,0.0659191469792325
t18749aep|SPT5H_DANRE,0.00270187916812904
t24178aep|RET_HUMAN,0.0624545452878409
t1226aep|NC2B_RAT,0.143694964959059
t1213aep|GDPD1_HUMAN,0.0428787282404998
t24165aep|FGF8B_DANRE,0.0624545452878409
t23544aep|PRY1_YEAST,0.043618341486334
t23526aep|SEC13_RAT,0.380961715882034
t31061aep|SENP1_HUMAN,0.00484324634017869
t23534aep|PUS7_HUMAN,0.0970274688482212
t18834aep|NR1AA_DANRE,0.103984881524188
t10087aep|IMP1L_HUMAN,0.0125276055068107
t26965aep|KIF27_MOUSE,0.0103527575086765
t1895aep|RABF1_DICDI,0.028382085057508
t24351aep|FUT11_RAT,0.646179691841643
t1902aep|CB5D1_DANRE,0.0466462168489471
t1886aep|SGPL1_RAT,0.784589030338772
t24356aep|ERLN2_PONAB,0.00855031838444472
t1877aep|ZN347_HUMAN,0.0415221117259901
t11086aep|RRP12_CHICK,0.0768214450871382
t27347aep|MYO1D_RAT,0.000766260343632297
t18848aep|SYVN1_HUMAN,0.197738502677639
t11061aep|APCD1_CHICK,0.137818518578954
t11055aep|LWA_HYDEC,0.0122604102300802
t11074aep|SPP2B_MOUSE,0.182162000658756
