t38432aep|MYO3B_HUMAN,1.00556362452101
t38420aep|PLRKT_HUMAN,0.069835680283139
t38418aep|TMM19_XENTR,0.0341975481161328
t38414aep|ORC4_PONAB,0.0589113847311896
t38504aep|CATIP_DANRE,0.0953720621777239
t38507aep|CHUR_BOVIN,0.0566577257571616
t38509aep|DCDC2_MOUSE,0.0242335540153816
t38510aep|ZN235_MOUSE,0.40277309407603
t38497aep|DDC_HUMAN,0.782102889544507
t38498aep|MARH1_HUMAN,0.975215897736661
t31729aep|FREM2_MOUSE,0.0944964193097967
t31734aep|VITRN_MOUSE,0.075978808471019
t33102aep|FAF2B_XENLA,0.0664355602483793
t33119aep|KINH_STRPU,0.0130892728763581
t37444aep|TRI37_HUMAN,0.0203259302825727
t37447aep|ANKS3_HUMAN,0.0799543954642046
t37461aep|EYS_HUMAN,0.045208959447898
t36608aep|NCLN_DANRE,0.0619258569843979
t36591aep|ZMYM1_HUMAN,0.0381445174225612
t36606aep|TBD_CANLF,0.0942785965439933
t36612aep|ERIC3_HUMAN,0.672268726183187
t34700aep|DRD1_BOVIN,0.0893051690250628
t34698aep|TSSK3_HUMAN,0.0475793296108106
t32286aep|RIMS2_RAT,1.41294238478697
t32283aep|PPBT_CHICK,0.0443687452924853
t32273aep|CI172_HUMAN,0.155250479926445
t32296aep|HSP70_HYDVU,0.0117370086893929
t32295aep|CHD1_MOUSE,0.195757776696728
t32290aep|NOL6_MOUSE,0.111563087861709
t32272aep|FAT4_MOUSE,0.045208959447898
t32909aep|F228B_MOUSE,0.24618413272607
t32902aep|AFAD_HUMAN,0.115488884224255
t32906aep|SNP47_RAT,0.0594089925369216
t32901aep|APBP2_RAT,0.125566196187903
t32917aep|CC020_MOUSE,0.00841361764990707
t32931aep|OCTL_DROME,0.00747770714169296
t32907aep|KALRN_MOUSE,0.134019582667583
t32334aep|DCTP1_MOUSE,0.041452958368625
t32343aep|GRT1A_DANRE,0.181823503601481
t32349aep|CRJ1A_TRICY,0.0418916386202856
t32333aep|DHDDS_HUMAN,0.0441270887531252
t32873aep|TPMT_PSEAB,0.0182027383226801
t32875aep|RPAP3_MOUSE,0.106756438078932
t32872aep|AMPN_RABIT,0.0194882536671456
t32894aep|MYO1A_MOUSE,0.274821047794803
t37679aep|DCC_MOUSE,0.155009244065824
t37695aep|ANPRA_MOUSE,0.0339535586005553
t33231aep|CLPX_MOUSE,0.206095840946703
t33217aep|IN80D_XENLA,0.218463780214495
t33218aep|TACC3_XENLA,1.29452745968026
t33225aep|CE350_HUMAN,0.137357057886462
t33844aep|RTJK_DROME,0.045208959447898
t33855aep|RASF2_MOUSE,0.865650803319457
t33867aep|NADK_MOUSE,0.0600451946833555
t33848aep|GRM8_HUMAN,0.045208959447898
t33849aep|CATL_SARPE,0.0968227286901419
t33865aep|F172A_CHICK,0.0321131981729284
t33864aep|CNTP5_CANLF,0.00147051778612988
t33869aep|OSBL8_MOUSE,0.452749468571905
t33859aep|KCNH2_CHICK,0.045208959447898
t33845aep|SEPT2_CHICK,0.34543689053839
t33868aep|CCS_PIG,0.0575412109649299
t33861aep|GCC1_HUMAN,0.0973630680525441
t33856aep|PARD3_HUMAN,0.0763329418143938
t35776aep|KLC4_MOUSE,0.0147200975447586
t35781aep|NISCH_HUMAN,0.0567523436708643
t37402aep|NAC1_CAVPO,0.452555661749107
t37422aep|ADA12_MOUSE,0.00262910854977644
t37423aep|CCD83_MACFA,0.0283800082503139
t37417aep|GRM8_RAT,0.0893051690250628
t37401aep|FNIP1_CHICK,0.283059773374202
t37405aep|OTOF_DANRE,1.2676942740618
t37427aep|Y2R2_DROME,0.0893051690250628
t32189aep|NINL_HUMAN,0.276592717644692
t32204aep|GON4L_HUMAN,0.0783897875669552
t32187aep|GANAB_MOUSE,0.0623872641496345
t32203aep|GAPD1_BOVIN,0.0595394555817513
t32192aep|MALT1_HUMAN,0.0916208548101017
t38735aep|KAPR2_DROME,0.263321855257814
t38720aep|RTKN_HUMAN,0.222669737947878
t38728aep|EPB1B_XENLA,0.0895146871186384
t38731aep|SAC2_DANRE,0.0843499175856872
t38159aep|TPGS2_HUMAN,0.0262277551147401
t38139aep|FNBP4_MOUSE,0.211636079125348
t38154aep|S35E1_RAT,0.276163032976263
t38165aep|TYDP1_MOUSE,0.119606774551997
t38157aep|ABH15_MOUSE,0.377913055307752
t37750aep|ABHD8_BOVIN,0.0554162034355302
t37739aep|RFC1_HUMAN,0.12131487374628
t37748aep|NATD1_XENTR,0.100731555131967
t37761aep|ADRB2_MOUSE,0.340023571591534
t37760aep|RTJK_DROME,0.0772306037720515
t37743aep|WDR87_HUMAN,0.0094722144372333
t33063aep|GRP78_CHICK,0.553695535607717
t33040aep|IQCB1_MOUSE,0.119626934894862
t33045aep|AT8B2_HUMAN,0.163486724035302
t33048aep|CAN7_HUMAN,0.0306450788465254
t33047aep|HKR1_HUMAN,0.0705883618398594
t33061aep|TTLL4_CAEBR,0.0299476419203078
t32590aep|SGSM1_MOUSE,0.441963864957817
t35655aep|NPHP3_HUMAN,0.163122125080543
t35679aep|KAD9_HUMAN,0.0247757916442641
t35677aep|PGDH_HUMAN,0.304431094256081
t35664aep|HTRA2_MOUSE,0.23701472609202
t35668aep|RTBS_DROME,0.0893051690250628
t35676aep|ANK3_HUMAN,0.155241878149399
t35654aep|TOP3B_ARATH,0.00898628019580738
t35674aep|ZRAB3_BOVIN,0.154309482573263
t31426aep|ZN830_XENTR,0.016508280363648
t31412aep|FND3A_HUMAN,0.612901246356129
t31393aep|MEC2_CAEEL,0.246796384645397
t31424aep|CFA57_MOUSE,0.10815319014105
t31409aep|TRF6A_XENLA,0.0195329333195664
t31410aep|ANKF1_HUMAN,0.461686233704256
t31430aep|ARGI1_HUMAN,0.0437766429690282
t37788aep|BRAP_HUMAN,0.0255483823483339
t37801aep|FA69C_MOUSE,0.045208959447898
t37797aep|TRI56_MOUSE,0.371935914774093
t37782aep|EMAL4_XENTR,0.0883151008754534
t37796aep|DC2L1_HUMAN,0.229753986080951
t37779aep|TRAF3_MOUSE,0.106583097698152
t37786aep|RTBS_DROME,0.045208959447898
t37792aep|LACE1_HUMAN,0.0180499960166804
t37787aep|TRM11_BOVIN,0.0697552619960942
t35786aep|AP1G_DICDI,0.0275247880005373
t35785aep|KCNA1_RAT,0.942167099220629
t34507aep|SAMD9_HUMAN,0.0785299570511643
t34517aep|ATG9A_PONAB,0.0397173079956422
t34502aep|TCB1_CAEBR,0.045208959447898
t34493aep|VPP1_MOUSE,0.092858452646977
t34520aep|AGRG4_HUMAN,0.0326830081333805
t34516aep|MFTC_MOUSE,0.00391609688974759
t34497aep|CHIT3_DROME,0.0905838604821671
t34536aep|NALP7_HUMAN,0.030606332179977
t34538aep|NAL12_HUMAN,0.0148151751540245
t37144aep|PGBD4_HUMAN,0.045208959447898
t37134aep|TILB_XENTR,0.0569176169910118
t37135aep|TRI37_MOUSE,0.134606447905425
t37155aep|MRC1_MOUSE,0.0397665816236055
t37145aep|ZCPW1_HUMAN,0.0175796232898907
t37152aep|MACF1_HUMAN,0.0963354613757196
t37136aep|MRE11_RAT,0.0932289591749801
t37137aep|TET2_HUMAN,0.0230514847339146
t37156aep|CHIA_MOUSE,0.055672425121397
t37164aep|PSD10_DICDI,0.0846973964294277
t37162aep|LTBP4_HUMAN,0.045208959447898
t36810aep|EFC10_MOUSE,0.015487180363336
t36798aep|ASCC3_CHICK,0.0147990975217842
t36774aep|GGT1_RAT,0.0583629766632061
t36788aep|K0100_MOUSE,0.0036910401748997
t36802aep|LRK1_CAEEL,0.0015748615117694
t36799aep|ZMYM1_HUMAN,0.045208959447898
t36777aep|M3K7_MOUSE,0.080082588118881
t36771aep|TM175_DANRE,0.045208959447898
t36785aep|PGBD4_HUMAN,0.045208959447898
t36809aep|CE104_HUMAN,0.101130752419074
t31809aep|KPCA_RAT,1.37185055830996
t31783aep|DMBT1_RABIT,0.064919525556987
t31816aep|TSP1_XENLA,0.0799212267206952
t31804aep|P53_TETMU,0.045208959447898
t36091aep|F166B_XENTR,0.0925328823434021
t36133aep|FA5_PIG,0.045208959447898
t36103aep|CC171_HUMAN,0.17557482811682
t36100aep|ADD_ENTFA,0.045208959447898
t36116aep|BRCA1_MOUSE,0.0342955154702306
t36104aep|SDK1_HUMAN,0.0676923163705956
t31314aep|MFSD1_BOVIN,0.0856299861530786
t31332aep|AMACR_MOUSE,0.0108774967435129
t31354aep|CA2D4_HUMAN,1.532170441839
t31338aep|RTBS_DROME,0.045208959447898
t31302aep|ZMYM1_HUMAN,0.045208959447898
t31303aep|AB1IP_CHICK,1.36534848555339
t31358aep|UBX11_RAT,0.144929659628974
t31357aep|LRRC9_HUMAN,0.268939844925744
t31317aep|SPN90_MOUSE,0.020065207953163
t31316aep|ROR1_HUMAN,0.617996928974583
t31324aep|DOT1L_HUMAN,0.11992854900188
t31333aep|WSDU1_DANRE,0.079721109373132
t31334aep|WASP_HUMAN,0.0481198576006261
t37266aep|HARB1_HUMAN,0.160390223318654
t37291aep|CE120_HUMAN,0.106543151130063
t37292aep|K1586_HUMAN,0.045208959447898
t37310aep|TMC7_HUMAN,0.173410419745202
t37309aep|WHRN_HUMAN,0.00452070811416041
t37271aep|AT133_HUMAN,0.045208959447898
t37308aep|RTBS_DROME,0.045208959447898
t37290aep|RIF1_MOUSE,0.0619250679153732
t37282aep|HSF3_MOUSE,0.045208959447898
t37243aep|PK2L1_MOUSE,0.0384891724743678
t37294aep|RUFY2_MOUSE,0.182116451987827
t37283aep|GABT_HUMAN,0.0392670401837094
t31544aep|YVNF_AZOCH,0.0184610294324302
t31245aep|ZN266_HUMAN,0.147263586851718
t31519aep|PLDX1_MOUSE,0.0158547360203856
t34379aep|MET16_DANRE,0.00782565698877027
t34403aep|WDFY3_MOUSE,0.0293212476657573
t34421aep|GTD2A_HUMAN,0.045208959447898
t34387aep|YDJC_MOUSE,0.0287646348040396
t34397aep|ZBED1_HUMAN,0.045208959447898
t34401aep|WAP53_RAT,0.110137966031748
t34425aep|ZMYM1_HUMAN,0.88439581839528
t34424aep|TRY3_SALSA,3.69650341082569
t34377aep|SMAL1_RAT,0.114142045199517
t34415aep|CC157_BOVIN,0.029492205285681
t34408aep|TIGD4_MOUSE,0.045208959447898
t32564aep|AVIL_HUMAN,0.0115762155442321
t32541aep|S15A4_XENLA,0.036448937652638
t32532aep|RTJK_DROME,0.045208959447898
t32551aep|CKAP5_HUMAN,0.0967981501605311
t32529aep|LOXH1_MOUSE,0.146366474279482
t32539aep|P52K_HUMAN,0.045208959447898
t32571aep|RTBS_DROME,0.0249397895488043
t32573aep|RTBS_DROME,0.045208959447898
t31234aep|UCHL3_HUMAN,0.043637858400611
t31240aep|CCND2_BOVIN,0.437220098338123
t38275aep|CATIN_HUMAN,0.246843231057707
t38256aep|ODFP2_CHICK,0.0915733802626154
t38303aep|IFT81_MOUSE,0.462439846319397
t38284aep|WDR66_HUMAN,0.0317536547150263
t38298aep|TC1A_CAEEL,0.045208959447898
t32047aep|RTJK_DROME,0.0174678383066915
t32029aep|TGS1_RAT,0.0361507273469632
t32002aep|HMCN1_HUMAN,0.147033582300834
t32010aep|DD3_DICDI,0.045208959447898
t31986aep|ZMYM1_HUMAN,0.437867412499155
t32012aep|TTC3_HUMAN,0.0698175346772147
t35471aep|FHAD1_HUMAN,0.101729635344654
t35487aep|SVOP_XENLA,0.64102983905035
t31771aep|TRM7_HUMAN,0.0437787677866949
t35488aep|AGO2_HUMAN,0.114712860476804
t35477aep|RTJK_DROME,0.10906252145761
t35510aep|DOCK6_HUMAN,0.163615606706175
t35461aep|THAP9_HUMAN,0.0954453863708045
t35503aep|DSCL1_CHICK,0.993856184482361
t35514aep|JERKL_HUMAN,0.0836591478811086
t35446aep|CRA1B_DANRE,0.0785205781484568
t31770aep|VWA3B_HUMAN,0.07296757138029
t37568aep|DLEC1_HUMAN,0.00701473791606233
t37577aep|RTJK_DROME,0.0816996475777794
t37553aep|TRA1_MAIZE,0.132348307586389
t37541aep|POLR_DROME,0.045208959447898
t37551aep|POGK_HUMAN,0.107917996621917
t37569aep|SCND3_HUMAN,0.076784347499766
t37534aep|PGBD2_HUMAN,0.214161441379313
t33020aep|TSP3_MOUSE,0.0283608941242614
t32967aep|TRA1_MAIZE,0.045208959447898
t32984aep|RXR_BIOGL,0.0640323113835928
t33008aep|THAP2_MOUSE,0.045208959447898
t33004aep|CNTP2_HUMAN,0.012737414870383
t35592aep|SE1L2_HUMAN,0.182041898946508
t35577aep|KLC_DORPE,0.0271285881107787
t35590aep|RTBS_DROME,0.0556609359715792
t31763aep|RN103_MOUSE,0.274761042422824
t35587aep|ZBED1_HUMAN,0.0535900368223429
t35620aep|RTJK_DROME,0.105252517298474
