t31910aep|CAH1_RAT,0
t38176aep|APC1_MOUSE,-0.0246571090560279
t36373aep|RTXE_DROME,0
t38183aep|APC_RAT,0.137313776108137
t38182aep|GRM4_MOUSE,0
t38186aep|CRYAB_BOVIN,0.610232691172524
t32713aep|SDA1_RAT,-0.244383466970397
t32714aep|TENS1_HUMAN,0.561826251868847
t32725aep|TIM10_CAEBR,-0.00303002937000421
t32715aep|KCMA1_BOVIN,0
t32719aep|T2FA_XENLA,0.0756650326629423
t32717aep|STX12_MOUSE,0.0633476609821681
t32709aep|MCFD2_PONAB,0.224178944924333
t35366aep|XRN1_HUMAN,-0.0157005093284754
t35363aep|TMX2B_DANRE,-0.0111520735106313
t35365aep|SGCD_HUMAN,0.777164688109708
t35368aep|DCP2_MOUSE,0.00830336294767688
t35373aep|RS14_MARMM,-0.107503948382646
t35372aep|ELYS_XENLA,-0.0116076855123131
t34194aep|THNS2_MOUSE,0.0144104958790008
t34195aep|SAM9L_HUMAN,0.00452617503694214
t34190aep|CRFR2_MOUSE,0
t34183aep|TLN1_HUMAN,0
t34191aep|SRSF7_BOVIN,-0.573550155910316
t34181aep|HARB1_DANRE,0.0386117052363264
t34192aep|FORF_DICDI,0.504068130796435
t36376aep|RTBS_DROME,0
t34186aep|BRPF1_HUMAN,-0.0114777147589573
t32768aep|KLC4_MOUSE,0
t32769aep|KLC4_HUMAN,0.0386117052363264
t32772aep|P4R3A_MOUSE,-0.0699104043446453
t32762aep|RAD50_MOUSE,0.128461420853237
t32757aep|INO80_MOUSE,0.00174397083290632
t32760aep|BRM_DROME,0.00642705877285852
t32773aep|TRI50_MOUSE,-0.021233374898754
t32766aep|SC5AC_MOUSE,0
t32775aep|CELR2_HUMAN,0.41058359272342
t32779aep|SNR48_HUMAN,0.0796944309779733
t33155aep|CBPD_LOPSP,0
t33147aep|MFSD8_DANRE,0
t33154aep|OXR1_MOUSE,0.138556235218916
t33152aep|ANKY1_HUMAN,0
t34085aep|AL221_ARATH,0
t33151aep|LAT3_MOUSE,0
t33149aep|TOLL6_DROME,-0.0190539842290479
t32180aep|MYLK_SHEEP,0.0342090393392113
t32175aep|ATK4_ARATH,0
t32160aep|MYD88_HUMAN,0.147872620487065
t32176aep|AGRB2_MOUSE,0
t32167aep|HAUS4_HUMAN,-0.0674224981892434
t32162aep|STAB2_HUMAN,0
t32166aep|GBB5_PONAB,0.240407861738977
