t37750aep|ABHD8_BOVIN,0.00713962258312659
t37746aep|USH2A_HUMAN,0.0102945955412363
t37760aep|RTJK_DROME,0.0289540229196477
t37743aep|WDR87_HUMAN,0.0479521940792199
t33049aep|RTJK_DROME,0.00599436800860159
t33059aep|TIGD1_HUMAN,0.0205640666875556
t33063aep|GRP78_CHICK,0.434590268525742
t33040aep|IQCB1_MOUSE,0.0239614617522036
t33073aep|PMGT1_BOVIN,0.0635836787403848
t33061aep|TTLL4_CAEBR,0.0257672706450693
t32607aep|SMYD4_PONAB,0.0603929950579249
t32600aep|TRPA1_CAEEL,0.0151377174357855
t37483aep|IFT52_MOUSE,0.0308086523136467
t35655aep|NPHP3_HUMAN,0.166267814731932
t35677aep|PGDH_HUMAN,1.10913490423213
t31398aep|ANPRB_HUMAN,0.0275378005016203
t31426aep|ZN830_XENTR,0.0138964425807181
t31412aep|FND3A_HUMAN,0.165873793010129
t31393aep|MEC2_CAEEL,0.111460981460746
t31424aep|CFA57_MOUSE,0.0776482629396904
t31399aep|EGTB_MYCS2,0.0102945955412363
t37801aep|FA69C_MOUSE,0.0102945955412363
t37791aep|Y381_RICFE,0.1070805157627
t37778aep|TC1A_CAEEL,0.0102945955412363
t37782aep|EMAL4_XENTR,0.0275096022652487
t37796aep|DC2L1_HUMAN,0.262937640611216
t37800aep|ZMYM1_HUMAN,0.0102945955412363
t35786aep|AP1G_DICDI,0.00287989524019513
t35801aep|NOS1_MOUSE,0.0168317600991767
t35785aep|KCNA1_RAT,0.0102945955412363
t35803aep|GT2D2_BOVIN,0.0205640666875556
t35811aep|AL14E_BOVIN,0.0102945955412363
t34490aep|PK1L2_MOUSE,0.0144761728307749
t34509aep|RTJK_DROME,0.0102945955412363
t37145aep|ZCPW1_HUMAN,0.013399252014652
t37136aep|MRE11_RAT,0.030453972796361
t37137aep|TET2_HUMAN,0.175580427753687
t37161aep|CFA69_PAPAN,0.0276361107119194
t37156aep|CHIA_MOUSE,1.23995580422567
t36805aep|SZT2_MOUSE,0.0308086523136467
t36775aep|ANKE1_HUMAN,0.0575118774513554
t36771aep|TM175_DANRE,0.0102945955412363
t36785aep|PGBD4_HUMAN,0.0102945955412363
t31783aep|DMBT1_RABIT,1.89170367095436
t31816aep|TSP1_XENLA,0.000910653236868741
t31787aep|KLC4_HUMAN,0.0102945955412363
t31804aep|P53_TETMU,0.0205640666875556
t36091aep|F166B_XENTR,0.344645575352154
t36111aep|P20D2_MOUSE,0.153114503826842
t36128aep|CAH2_TRIHK,0.0992152023875622
t36098aep|NM111_LODEL,0.0102945955412363
t36101aep|LIN1_NYCCO,0.0102945955412363
t31311aep|NPA1P_HUMAN,0.00863267435706301
t31356aep|OTOF_HUMAN,0.0031454403281958
t31322aep|PGBD3_HUMAN,0.0102945955412363
t31348aep|ZBED4_MOUSE,0.0102945955412363
t31302aep|ZMYM1_HUMAN,0.0102945955412363
t31318aep|PRKDC_CANLF,0.0205640666875556
t31357aep|LRRC9_HUMAN,0.012851958409989
t31346aep|MGT4A_RAT,0.0715428089761844
t31316aep|ROR1_HUMAN,0.252704466389419
t37270aep|CUBN_RAT,0.0205640666875556
t37247aep|NAS13_CAEEL,1.36699522147594
t37271aep|AT133_HUMAN,0.0102945955412363
