t32902aep|AFAD_HUMAN,0.147595561348813
t32906aep|SNP47_RAT,0.0394651294943715
t32907aep|KALRN_MOUSE,0.0644203482881129
t32932aep|HYD_DROME,0.24759622502243
t32343aep|GRT1A_DANRE,0.859990943659175
t32333aep|DHDDS_HUMAN,0.165104795523689
t32895aep|RMR2_ORYSJ,0.114179174037048
t32870aep|ZMYM1_HUMAN,0.069361305982513
t32894aep|MYO1A_MOUSE,0.451604626986515
t37699aep|AGTRB_MOUSE,0.069361305982513
t37695aep|ANPRA_MOUSE,0.30829591813182
t33231aep|CLPX_MOUSE,0.136496606567233
t33217aep|IN80D_XENLA,0.00960587383507392
t33218aep|TACC3_XENLA,1.00683977711689
t33213aep|CEP44_XENTR,0.0776352659970301
t33223aep|ZMYM1_HUMAN,0.069361305982513
t33205aep|KCNQ1_SQUAC,0.00327781670641911
t33867aep|NADK_MOUSE,0.0401013316408056
t33858aep|RIMK_SYNPX,0.115238294002883
t33869aep|OSBL8_MOUSE,0.81064189474691
t33845aep|SEPT2_CHICK,0.207524542153385
t33856aep|PARD3_HUMAN,0.0443590878425047
t35773aep|FRIS_LYMST,0.288049991693275
t35776aep|KLC4_MOUSE,0.0388724440793735
t35771aep|RASEF_MOUSE,0.470441388085303
t37402aep|NAC1_CAVPO,2.15105157983324
t37422aep|ADA12_MOUSE,0.0060412405898782
t37426aep|MALT1_HUMAN,0.0305269639361725
t37401aep|FNIP1_CHICK,0.442571786056715
t37405aep|OTOF_DANRE,1.51760044131414
t37414aep|KCNB1_PIG,0.319551318979162
t37420aep|TTLL6_DANRE,0.0118779404520779
t32202aep|B4GN4_HUMAN,0.0639189281582204
t32189aep|NINL_HUMAN,0.0946905278234968
t32210aep|VIAAT_XENTR,0.0120943587355938
t32191aep|TC1A_CAEEL,0.069361305982513
t32187aep|GANAB_MOUSE,0.0424434011070846
t32203aep|GAPD1_BOVIN,0.0142927660478462
t38735aep|KAPR2_DROME,0.980897091610759
t38720aep|RTKN_HUMAN,0.00270186168273618
t38728aep|EPB1B_XENLA,0.0265276855147625
t38731aep|SAC2_DANRE,0.0213629159818111
t38139aep|FNBP4_MOUSE,0.41367051092895
t38147aep|TCB2_CAEBR,0.069361305982513
t38154aep|S35E1_RAT,0.104309320784671
t38162aep|RTXE_DROME,0.069361305982513
t38172aep|CCD13_HUMAN,0.275171959860145
t37748aep|NATD1_XENTR,0.0687577011600782
t37761aep|ADRB2_MOUSE,0.895671608686628
t33049aep|RTJK_DROME,0.169029842021966
t33063aep|GRP78_CHICK,2.302647887254
t33040aep|IQCB1_MOUSE,0.0711110249060277
t33045aep|AT8B2_HUMAN,0.677366610788804
t33073aep|PMGT1_BOVIN,0.2057770000555
t33048aep|CAN7_HUMAN,0.274629756889872
t33060aep|TCB2_CAEBR,0.069361305982513
t32592aep|PK1L2_HUMAN,0.069361305982513
t32590aep|SGSM1_MOUSE,0.0423818665542321
t37483aep|IFT52_MOUSE,0.069361305982513
t35664aep|HTRA2_MOUSE,0.104625583449067
t35668aep|RTBS_DROME,0.135760439626491
t35676aep|ANK3_HUMAN,0.212359899350541
t31398aep|ANPRB_HUMAN,0.00513254599433465
t31412aep|FND3A_HUMAN,0.68900379489372
t31393aep|MEC2_CAEEL,0.243635450420563
t31425aep|RTBS_DROME,0.069361305982513
t31405aep|PASK_MOUSE,0.069361305982513
t31409aep|TRF6A_XENLA,0.0436852798541816
t31410aep|ANKF1_HUMAN,0.721741532011684
t31430aep|ARGI1_HUMAN,0.0238327799264783
t37485aep|UN93L_DROME,0.069361305982513
t37788aep|BRAP_HUMAN,0.0467008264584067
t37791aep|Y381_RICFE,0.116345868705895
t37797aep|TRI56_MOUSE,0.435885204889032
t37778aep|TC1A_CAEEL,0.069361305982513
t37796aep|DC2L1_HUMAN,0.156846072519015
t37779aep|TRAF3_MOUSE,0.243804259035467
t37803aep|SPNS1_DANRE,0.0943025957299887
t35813aep|GRM3_MACFA,0.069361305982513
t35786aep|AP1G_DICDI,0.0516771345351523
t35818aep|TCB2_CAEBR,0.069361305982513
t35785aep|KCNA1_RAT,0.319551318979162
t34532aep|TFF3_RAT,0.069361305982513
t34489aep|PK1L2_MOUSE,0.069361305982513
t34523aep|K1468_XENTR,0.0617743351322458
t34517aep|ATG9A_PONAB,0.21750429981424
t34502aep|TCB1_CAEBR,0.069361305982513
t34520aep|AGRG4_HUMAN,0.0568353546679955
t34497aep|CHIT3_DROME,0.157684486117982
t34536aep|NALP7_HUMAN,0.0106624691374273
t34529aep|GRM3_HUMAN,0.135760439626491
t37151aep|ANR28_MOUSE,0.0976145004598957
t37168aep|M3K3_HUMAN,0.0864966692242073
t37152aep|MACF1_HUMAN,0.981437284898937
t37137aep|TET2_HUMAN,0.0481070222237271
t37156aep|CHIA_MOUSE,0.0357285620788473
t37164aep|PSD10_DICDI,0.105849840539501
t37121aep|HMCN1_HUMAN,0.0181166290221531
t36805aep|SZT2_MOUSE,0.069361305982513
t36813aep|KCNQ2_MOUSE,0.069361305982513
t36802aep|LRK1_CAEEL,0.111718625708911
t36799aep|ZMYM1_HUMAN,0.069361305982513
t31809aep|KPCA_RAT,0.265429731200844
t31783aep|DMBT1_RABIT,0.175063289754128
t31812aep|ARHGI_MOUSE,0.131501969346016
t31811aep|UBIQ_ENCCU,0.127316107045176
t31794aep|CP17A_CHICK,0.069361305982513
t36091aep|F166B_XENTR,0.213510589113966
t36106aep|USH1C_MOUSE,1.03031272932407
t36093aep|ZN862_HUMAN,0.0626713070880121
t36116aep|BRCA1_MOUSE,0.411024698031722
t31311aep|NPA1P_HUMAN,0.0165985420239225
t31319aep|RTXE_DROME,0.069361305982513
t31354aep|CA2D4_HUMAN,1.09416695066829
t31341aep|DNLI3_HUMAN,0.057010272580842
t31345aep|RAB1B_ARATH,0.0518693013707274
t31303aep|AB1IP_CHICK,0.245229168228996
t31349aep|GRM7_HUMAN,1.3210624369098
t31357aep|LRRC9_HUMAN,0.254935655092354
t31346aep|MGT4A_RAT,0.069361305982513
t31334aep|WASP_HUMAN,0.0822292557976874
t37266aep|HARB1_HUMAN,0.205546550233982
t37291aep|CE120_HUMAN,0.0905008160169778
t37247aep|NAS13_CAEEL,0.0716158390664567
t37310aep|TMC7_HUMAN,0.0534818707433215
t37272aep|ZBED1_HUMAN,0.069361305982513
t37307aep|SPTCS_HUMAN,0.00241349813487031
t37243aep|PK2L1_MOUSE,0.312831532005632
t37294aep|RUFY2_MOUSE,0.000921877288285607
t31544aep|YVNF_AZOCH,0.0426133759670452
t31534aep|RTXE_DROME,0.069361305982513
t31547aep|CNTRB_MOUSE,0.0376879353921304
t31545aep|NEK10_MOUSE,0.0218878467717113
t31245aep|ZN266_HUMAN,0.304563280312759
t31519aep|PLDX1_MOUSE,0.0400070825550007
t31502aep|FGFR3_CHICK,0.135760439626491
t34403aep|WDFY3_MOUSE,0.139465011862898
t34387aep|YDJC_MOUSE,0.0529169813386545
t34366aep|PLCL_MYTGA,0.115317316233667
t34419aep|CHD1L_DANRE,0.290984564048846
t34362aep|POL4_DROME,0.069361305982513
t32564aep|AVIL_HUMAN,1.61059660827396
t32552aep|CTRO_HUMAN,0.121216469772406
t32526aep|TDRD3_MOUSE,0.0135724415485557
t32572aep|FUT3_BOVIN,0.176594534169258
t31234aep|UCHL3_HUMAN,0.00397496733039369
t38304aep|S22A4_HUMAN,0.147086077206982
t31240aep|CCND2_BOVIN,0.182452692968453
t38275aep|CATIN_HUMAN,0.128550222961853
t38256aep|ODFP2_CHICK,0.028787826077968
t38303aep|IFT81_MOUSE,0.454716524052651
t38264aep|AT133_MOUSE,0.0688193143440623
t38315aep|CP131_DANRE,0.0719442725137166
t38253aep|ABCB1_DICDI,0.0255148572450546
t38310aep|FGFR3_DANRE,0.0570169651202099
t38293aep|NALDL_RAT,0.0141466853215603
t32047aep|RTJK_DROME,0.108019318485284
t32035aep|GRM8_HUMAN,0.122780729275001
t32002aep|HMCN1_HUMAN,0.251093632944707
t32013aep|ZIFL1_ARATH,0.00579322835937713
t32046aep|BLM_XENLA,0.0169267135584964
t31986aep|ZMYM1_HUMAN,0.312817747978982
t32023aep|RTJK_DROME,0.0577261149626159
t35471aep|FHAD1_HUMAN,0.0630966792387532
t35455aep|PK1L2_MOUSE,0.069361305982513
t35456aep|PK1L2_MOUSE,0.135760439626491
t35477aep|RTJK_DROME,0.0877620496257889
t35510aep|DOCK6_HUMAN,0.127641266060499
t35461aep|THAP9_HUMAN,0.0324583847669285
t35503aep|DSCL1_CHICK,0.25604253747063
t31770aep|VWA3B_HUMAN,0.119422841981718
t37568aep|DLEC1_HUMAN,0.161254711690369
t37553aep|TRA1_MAIZE,0.295371102502955
t37551aep|POGK_HUMAN,0.0626713070880121
t37569aep|SCND3_HUMAN,0.186928111696907
t33011aep|PELET_DROME,0.175124282865317
t32976aep|ZMYM1_HUMAN,0.0456198929626883
t33020aep|TSP3_MOUSE,0.118912374302854
t32967aep|TRA1_MAIZE,0.108545001469478
t32983aep|LRRK2_MOUSE,0.0311829053688921
t32997aep|HMCN1_HUMAN,0.124451036444465
t32973aep|JERKL_MOUSE,0.0425817413632051
t35592aep|SE1L2_HUMAN,0.0603424226756407
t35576aep|ZBED4_MOUSE,0.875027429096811
t35577aep|KLC_DORPE,0.00718472506822881
t35587aep|ZBED1_HUMAN,0.0336461737797931
t35620aep|RTJK_DROME,0.292455528691247
t35579aep|RTJK_DROFU,0.0416201848413064
t35607aep|RTJK_DROME,0.120567154157845
t35626aep|PGBD4_HUMAN,0.069361305982513
t34214aep|RTJK_DROME,0.069361305982513
t34201aep|RTJK_DROME,0.0468828501483917
t31766aep|SFT2A_MOUSE,0.0945508873885705
t34267aep|H2B3_TIGCA,0.0508625615523251
t34240aep|ZMYM1_HUMAN,0.199448933222204
t34248aep|JERKL_HUMAN,0.184255647753559
t34276aep|AGRG4_HUMAN,0.0314273801161219
t34245aep|AGRG2_MOUSE,0.062871040515863
t34246aep|THAP9_HUMAN,0.0289983189890707
t34257aep|P52K_HUMAN,0.069361305982513
t37932aep|ZMYM1_HUMAN,0.069361305982513
t37937aep|AL14E_RAT,0.0155143404949852
t37859aep|YTX2_XENLA,0.0148351834204538
t37861aep|TC3A_CAEEL,0.069361305982513
t37917aep|SUREJ_STRPU,0.05587133508049
t37918aep|PK1L2_MOUSE,0.122415368785177
t31769aep|HEM4_HUMAN,0.0226302489161602
t37924aep|PELET_DROME,0.0529821220477185
t37855aep|THAP9_HUMAN,0.0608238136044069
t37336aep|ZMYM1_HUMAN,0.0632085734406691
t37334aep|MTPN_DANRE,0.968826631140977
t31596aep|HSP13_HUMAN,0.120981186632895
t37469aep|YDJC_XENLA,0.069361305982513
t36835aep|ADPRM_HUMAN,0.00895676955958797
t36827aep|CAC1D_MESAU,0.0465817677691142
t37199aep|L12R1_BOVIN,0.0377236582575562
t34857aep|U390_DANRE,3.44371437708728
t34856aep|SYIC_DICDI,0.069361305982513
t36727aep|DRAM1_HUMAN,0.53540756564833
t34354aep|NIT1_BOVIN,0.110818485858717
t37993aep|YC91_CAEEL,0.069361305982513
t34122aep|MAD1_MOUSE,0.86762693989064
t36430aep|TM175_MOUSE,0.069361305982513
t34584aep|SIL1_MOUSE,0.15861337835881
t35746aep|ASPM_PONPY,0.069361305982513
t34818aep|DUS22_HUMAN,0.117193432638374
t34824aep|PCR3_ARATH,2.5307258534129
t34821aep|CTP5A_MOUSE,0.069361305982513
t37608aep|FLVC2_HUMAN,0.376332985629736
t36547aep|NMDZ1_MOUSE,0.135760439626491
t36138aep|RCAN1_PONAB,0.107348596482147
t35637aep|RNF11_MOUSE,0.285010461588961
t33242aep|FAT2_DROME,0.069361305982513
t33638aep|TRPC5_RABIT,0.135760439626491
t33325aep|KCNH2_MOUSE,0.069361305982513
t35110aep|TOX4_PONAB,0.0103680000982378
t34617aep|VPS8_HUMAN,0.0859909946978116
t36854aep|CMTR2_DANRE,0.0363113603944361
t36857aep|TPPC2_XENTR,0.145035831018265
t32073aep|PIGE_DROME,0.145701498673757
t32071aep|TAAR3_RAT,0.135760439626491
t38527aep|ANK1_HUMAN,0.0120943587355938
t38086aep|PIHD1_XENLA,0.156116027062806
t35525aep|RS28_ICTPU,0.0489181825896894
t35167aep|PTPRQ_RAT,0.069361305982513
t36169aep|MATN4_HUMAN,0.069361305982513
t33129aep|LSM1_HUMAN,0.0307496007461866
t32133aep|SCOCB_DANRE,0.0412134473292137
t35715aep|RN181_DANRE,0.417345904961758
t37831aep|TPMT_NITMU,0.0282175080512228
t37833aep|CI116_SALSA,0.0218393481526652
t36020aep|ADCY9_MOUSE,0.388766907656526
t36199aep|TBX3_CHICK,0.069361305982513
t36195aep|PYGO_DROME,0.0670037650341162
t36201aep|B4GN4_HUMAN,0.107085882683509
t33788aep|MCAF1_HUMAN,0.069361305982513
t35946aep|PIGW_RAT,0.069361305982513
t33953aep|DYH1_HUMAN,0.069361305982513
t33805aep|OPN4B_XENLA,0.069361305982513
t34900aep|MLC2_DROME,1.48917352004954
t35283aep|R213B_DANRE,0.069361305982513
t34971aep|NDUAC_CAEEL,0.58897197153868
t34831aep|MTH2_DROYA,0.116376101416906
t33913aep|PK1L2_HUMAN,0.069361305982513
t35933aep|GRM1_HUMAN,0.069361305982513
t38515aep|KCNC1_MOUSE,0.660813657523432
t31375aep|OPSC1_HEMSA,0.069361305982513
t36299aep|TAA7E_RAT,0.069361305982513
t31680aep|MYCA_BACIU,0.135760439626491
t31672aep|BET1_MOUSE,0.17225445074653
t37714aep|DLRB2_MOUSE,0.069361305982513
t37226aep|NOS3_CANLF,0.319551318979162
t34780aep|Y1101_SYNY3,0.0585227695652886
t34782aep|DOLK_HUMAN,0.069361305982513
t31980aep|DPM1_CRIGR,0.250111929041447
t32229aep|TM127_DANRE,0.241322330928491
t36346aep|OPN3_MOUSE,0.069361305982513
t33669aep|CIRBP_LITCT,0.819668991701222
t33670aep|NADA_APLKU,0.302360025175196
t32803aep|ADRB2_PIG,0.069361305982513
t32801aep|RAB18_CHICK,0.25288761164458
t34941aep|C5AR1_HUMAN,0.069361305982513
t33561aep|B3GN4_MOUSE,0.135760439626491
t36240aep|CDKL1_DANRE,0.12645668769314
t33270aep|DNJ6B_XENLA,0.107316489265854
t38053aep|GNPTA_DANRE,0.0723811365276399
t38051aep|RAB6A_CHICK,0.232195950262024
t32958aep|ANO7_HUMAN,0.121889936221068
t37504aep|ANO39_PATPE,0.0663729354919537
t34888aep|LITAF_DANRE,0.191065063917031
t37655aep|S12A4_RAT,0.069361305982513
t38384aep|VF259_IIV6,0.069361305982513
t38380aep|PTN23_MOUSE,0.178305332548938
t38376aep|FLOWR_DROVI,0.0926689717355016
t34860aep|PQBP1_BOVIN,0.107868950556536
t32653aep|DRAM2_MOUSE,0.069361305982513
t32650aep|RL17_PODCA,0.0470712205864919
t32647aep|DD3_DICDI,0.0612224749389101
t31898aep|CP4V2_MOUSE,0.069361305982513
t32391aep|LYSM2_MOUSE,0.105831280649659
t33934aep|TBB4B_MESAU,0.135760439626491
t31704aep|C1GLT_DROME,0.0488391603589052
t36148aep|LTBP1_MOUSE,0.376332985629736
t37839aep|ZFAN1_HUMAN,0.10300489547237
t37848aep|GHC2_RAT,0.103902739858863
t37085aep|STK16_RAT,0.243856594998233
t26085aep|TBA_LYTPI,0.822616818756537
t26076aep|JAZF1_MOUSE,0.733389098839331
t20402aep|ACT_ACHBI,0.249759347902057
t5701aep|AXIN1_HUMAN,0.173686749552419
t20399aep|ELAV2_XENTR,1.88331455772141
t1155aep|FUCTA_DROME,0.48413022246473
t1163aep|NOT2_XENLA,3.88626643054222
t15201aep|DPTOR_MOUSE,0.000914909911880216
t15210aep|ZN182_MOUSE,0.110794529869663
