t4424aep|T106A_HUMAN,0.00784977359246856
t25796aep|PPA18_ARATH,0.00673357100018024
t24667aep|CALM_PROMN,0.00673357100018024
t24668aep|NPY5R_CANLF,0.00673357100018024
t18616aep|PRY1_YEAST,0.000414706610221107
t18601aep|LPLT2_CAEEL,0.00673357100018024
t14360aep|TSEAR_MOUSE,0.0493534263580353
t28440aep|CALM_HETTR,0.00673357100018024
t28436aep|CALM_METSE,0.00673357100018024
t28437aep|CALM_METSE,0.00649470491452313
t27547aep|ANK3_RAT,0.013489970902023
t27537aep|S36A4_XENLA,0.00679997200752195
t27557aep|G3ST3_MOUSE,0.0022916526002671
t27542aep|S17A5_HUMAN,0.00797389443945169
t11845aep|DRS7B_MOUSE,0.017170841442824
t2568aep|GCY_STRPU,0.00673357100018024
t24589aep|MMP16_RAT,0.00673357100018024
t2538aep|ANR44_MOUSE,0.00370882567128914
t24584aep|NPDC1_HUMAN,0.0245234041350646
t24877aep|TES_AOTNA,0.0434439552046011
t3297aep|MMP27_HUMAN,4.69871379922891
t15140aep|KCNF1_HUMAN,0.0104139607340707
t28605aep|ENTP1_HUMAN,0.132019737220091
t15168aep|LAR_DROME,0.00283128145844548
t15157aep|SVEP1_HUMAN,0.830909044014068
t26771aep|CATL_SARPE,0.0113000499004051
t28147aep|SBNO1_CHICK,0.00673357100018024
t28159aep|UBN1_HUMAN,0.0449691202214068
t13822aep|MEIG1_XENLA,0.145096125566382
t9187aep|HIPL2_MOUSE,0.160044951249027
t2754aep|SYCE2_MOUSE,0.013489970902023
t2731aep|ADA1A_ORYLA,0.118761386497879
t30836aep|GBRB3_RAT,0.0106830422626821
t17313aep|FKRP_MOUSE,0.0151345678883669
t17347aep|NAS4_CAEEL,0.00134301719917626
t17308aep|RGRF1_RAT,0.0101320460473675
t17341aep|G3ST3_MOUSE,0.216101445146823
t17351aep|INMT_RABIT,0.00673357100018024
t29082aep|KCNF1_HUMAN,0.0103664426889334
t17310aep|KAD8_HUMAN,0.00507254811213001
t17958aep|KFA_MOUSE,0.275442149005134
t29244aep|YJBM_BACSU,0.0021805677199974
t31052aep|GRDP2_ARATH,0.0175970492664987
t23426aep|SFRP4_RAT,0.382074152313347
t10195aep|CFA53_HUMAN,0.155464451220173
t26993aep|FEZF2_BOVIN,0.00129119317588782
t10197aep|COCA1_CHICK,0.699124672339094
t26994aep|STPG1_XENLA,0.00673357100018024
t10196aep|TC1A_CAEEL,0.00673357100018024
t10694aep|WDR3_HUMAN,0.026366190028191
t10714aep|KSR2_MOUSE,1.44543464343994
t10708aep|CR3L1_MOUSE,0.369732528757904
t30039aep|LAT4_MOUSE,0.00673357100018024
t20601aep|BOKB_DANRE,0.00673357100018024
t30054aep|ZNFX1_HUMAN,0.0311384099867162
t3813aep|PCR3_ARATH,0.487774145714625
t3825aep|GRM3_RAT,0.013489970902023
t3823aep|HHEX_HUMAN,0.00241136212503521
t29454aep|KLC4_HUMAN,0.00673357100018024
t29455aep|KLC4_HUMAN,0.00673357100018024
t18810aep|NAS4_CAEEL,0.58807425972265
t18808aep|NSD2_MOUSE,0.0279770555381663
t18795aep|LMLN_MOUSE,0.00673357100018024
t18802aep|IRF2_HUMAN,0.00828477193370191
t29477aep|FA5_MOUSE,0.00673357100018024
t27669aep|CPNE8_HUMAN,0.0040944318500007
t27665aep|PGBD4_HUMAN,0.00673357100018024
t27673aep|CAPA_BACAN,0.0892138202920675
t27684aep|CCD65_BOVIN,0.00135436002402534
t30365aep|MCMD2_RAT,0.013489970902023
t30362aep|KCNC1_MOUSE,0.0947962365058258
t30371aep|ATL49_ARATH,0.00673357100018024
t7025aep|CFA47_HUMAN,0.00673357100018024
t30971aep|NUCL1_ORYSJ,0.0923902923428902
t184aep|MPDZ_HUMAN,0.00211696733460299
t7790aep|YJBQ_ECOLI,0.00673357100018024
t7798aep|GDF8_DANRE,0.00129119317588782
t24478aep|PSB7_RAT,0.00673357100018024
t24462aep|RTBS_DROME,0.00673357100018024
t24477aep|DJC21_BOVIN,0.0241091308724027
t25345aep|LRP1B_HUMAN,0.00673357100018024
t26298aep|CO6A6_HUMAN,0.0267133394252021
t26299aep|CO6A5_HUMAN,0.00673357100018024
t26286aep|ABCD3_HUMAN,0.0561794840605513
t26306aep|OTOF_HUMAN,0.0270711375042366
t24960aep|TRIM3_RAT,0.0661663056417768
t23376aep|COMA_CONMA,0.176773990292007
t23361aep|CASR_BOVIN,0.013489970902023
t30993aep|SC5A8_HUMAN,1.4730553758029
t30810aep|LTBP4_HUMAN,0.000580838458336334
t30819aep|MDR1A_MOUSE,0.00662801411141313
t30802aep|BLML4_DICDI,0.0784458868035566
t23084aep|CAC1A_APIME,0.00673357100018024
t30920aep|ITAV_CHICK,0.00762056166405824
t23079aep|AJL2_ANGJA,0.560978913963736
t30914aep|WDR81_HUMAN,0.00143370409429732
t24246aep|TRPA1_HUMAN,0.00111133331539374
t24261aep|CASP3_SAIBB,0.000326011998497942
t1564aep|BOLA3_MOUSE,0.0308382665015711
t25746aep|LY75_HUMAN,0.0962829456737408
t25744aep|BTBD7_HUMAN,0.0650433566330472
t25751aep|PKD1_MOUSE,0.00673357100018024
t5157aep|ADCY9_HUMAN,0.00827180203599026
t19798aep|COX18_HUMAN,0.0522599001423322
t29821aep|TIGD6_HUMAN,0.00673357100018024
t27265aep|GALE_BACSU,0.101655954132504
t27269aep|NAS13_CAEEL,0.00223457005468032
t27256aep|DYH10_HUMAN,0.013489970902023
t24828aep|ENPP4_XENLA,0.291970525438495
t25535aep|KRP95_STRPU,0.00673357100018024
t25534aep|ACM1_DROME,0.040743253209381
t25554aep|KCMA1_RAT,0.00673357100018024
t25551aep|TTC28_MOUSE,0.0353624817195552
t24904aep|ADA24_MOUSE,0.013489970902023
t3361aep|MRC2_MOUSE,0.0202691698990936
t24889aep|TCB2_CAEBR,0.00673357100018024
t24905aep|RTBS_DROME,0.00673357100018024
t25496aep|AOSL_PLEHO,0.0325005845527341
t25501aep|CEL3B_MOUSE,6.99525690493994
t5562aep|NAS14_CAEEL,0.00673357100018024
