t31935aep|AP4S1_HUMAN,0.0502516025468067
t31936aep|PRRT1_MOUSE,0.111383564981491
t31931aep|ANK3_MOUSE,0.169496806359373
t31941aep|ZNT10_MOUSE,0.168213546075899
t31957aep|DOCK1_HUMAN,0.06526841080281
t31930aep|GXN_ACRMI,1.56128360395795
t32739aep|CHM1B_CHICK,0.148275184550517
t32745aep|PRRT1_MOUSE,0.162807491994985
t32736aep|GRM7_MOUSE,0.0188362038015068
t32747aep|ZIC2B_XENLA,0.997311018089507
t32755aep|RBCC1_MOUSE,0.0153086091986222
t33610aep|VP33A_RAT,0.156222434094795
t33595aep|FLT3_HUMAN,0.0484630172641626
t32370aep|CREB_HYDVD,0.503266988791872
t38591aep|CAPS1_RAT,0.119842256004577
t38580aep|BCOR_HUMAN,0.0151471897357802
t38581aep|HE_HEMPU,0.0279764230375082
t38589aep|TC1A_CAEEL,0.0188362038015068
t38586aep|KCNB1_PIG,0.0188362038015068
t38423aep|WARA_DICDI,0.0188362038015068
t38420aep|PLRKT_HUMAN,0.0790199606273118
t38418aep|TMM19_XENTR,0.253126608933733
t38504aep|CATIP_DANRE,0.65518851506865
t38506aep|ANK2_HUMAN,0.0561757779084395
t38510aep|ZN235_MOUSE,0.768625269426619
t38497aep|DDC_HUMAN,0.0224502229073805
t38498aep|MARH1_HUMAN,0.0771481513959423
t31735aep|NOTU2_XENLA,0.666152688648242
t31729aep|FREM2_MOUSE,0.0183238896318473
t33102aep|FAF2B_XENLA,0.208295066924801
t33119aep|KINH_STRPU,0.00544108032889108
t33099aep|ASM_BOVIN,1.12576685237415
t33106aep|NPHP3_HUMAN,0.0427259705057244
t37444aep|TRI37_HUMAN,0.0034430996482704
t37464aep|PK1L2_MOUSE,0.0901907597991033
t37461aep|EYS_HUMAN,0.0188362038015068
t37460aep|TBCEL_RAT,0.240520310821156
t36611aep|EDRF1_PONAB,0.00915489568807238
t36606aep|TBD_CANLF,0.13898488988373
t34700aep|DRD1_BOVIN,0.942030643201315
t34695aep|SORCN_SCHJA,0.0375607669004311
t34691aep|PLCL2_MOUSE,0.0125173394115478
t32286aep|RIMS2_RAT,0.00264507390575741
t32283aep|PPBT_CHICK,1.55303788087209
t32273aep|CI172_HUMAN,0.182778800669237
t32289aep|GTD2A_HUMAN,0.0188362038015068
t32293aep|PKHM2_HUMAN,0.00728428565580744
t32902aep|AFAD_HUMAN,1.97070883309339
t32907aep|KALRN_MOUSE,0.769290381767155
t32328aep|SPIT3_HUMAN,0.00461696261313341
t32893aep|TNG2_BOVIN,0.0212838379846007
t32872aep|AMPN_RABIT,0.114457375043257
t32870aep|ZMYM1_HUMAN,0.0375607669004311
t32894aep|MYO1A_MOUSE,0.202955683715732
t32896aep|LOX5_RAT,0.0188362038015068
t37698aep|S18B1_MOUSE,0.0172677514814679
t37679aep|DCC_MOUSE,0.208187521811778
t37699aep|AGTRB_MOUSE,0.0188362038015068
t33231aep|CLPX_MOUSE,0.152296417649073
t33217aep|IN80D_XENLA,0.122339660041803
t33224aep|CD047_MOUSE,0.135515956525891
t33225aep|CE350_HUMAN,0.0525594221722314
t33222aep|ENPP4_XENTR,0.0188362038015068
t33205aep|KCNQ1_SQUAC,0.966454411642934
t33843aep|Y2R2_DROME,0.0375607669004311
t33844aep|RTJK_DROME,0.111383564981491
t33855aep|RASF2_MOUSE,0.00626240992202315
t33867aep|NADK_MOUSE,0.0927801556455897
t33849aep|CATL_SARPE,4.56754685072111
t33864aep|CNTP5_CANLF,0.763533988532816
t33869aep|OSBL8_MOUSE,0.155147653588031
t33845aep|SEPT2_CHICK,0.0326540198625113
t33856aep|PARD3_HUMAN,0.773648790234524
t35773aep|FRIS_LYMST,0.738749077041422
t35776aep|KLC4_MOUSE,0.0441944081297413
t35771aep|RASEF_MOUSE,0.49079385250228
t35781aep|NISCH_HUMAN,0.0605323976603587
t35770aep|B3GLT_HUMAN,0.0572153702782478
t37400aep|AMPP1_PENRW,0.122618149748843
t37422aep|ADA12_MOUSE,0.0284979789525156
t37416aep|DEN1A_XENLA,0.0614543294154849
t37426aep|MALT1_HUMAN,0.179578789584358
t37418aep|CHSS2_HUMAN,0.0432907988700581
t37413aep|MACF1_HUMAN,0.0934320512476167
t37401aep|FNIP1_CHICK,0.516414351187154
t32186aep|COPIA_DROME,0.0188362038015068
t32202aep|B4GN4_HUMAN,0.0321183890761384
t32193aep|TCB2_CAEBR,0.0188362038015068
t32206aep|EGL15_CAEEL,0.00221725788900593
t32187aep|GANAB_MOUSE,0.0106428620250026
t32203aep|GAPD1_BOVIN,0.0380166830798903
t32192aep|MALT1_HUMAN,0.153278343069104
t38730aep|FBN1_PIG,0.0188362038015068
t38720aep|RTKN_HUMAN,0.103664182385089
t38728aep|EPB1B_XENLA,0.013342157440689
t38731aep|SAC2_DANRE,0.188724370328141
t38147aep|TCB2_CAEBR,0.0188362038015068
t38166aep|CUBN_HUMAN,1.06278479952672
t38162aep|RTXE_DROME,0.0188362038015068
t38172aep|CCD13_HUMAN,0.0172874794258184
t37750aep|ABHD8_BOVIN,0.00367180131089824
t33049aep|RTJK_DROME,0.0145359762688722
t33040aep|IQCB1_MOUSE,0.0187418013449896
t33045aep|AT8B2_HUMAN,0.176787202027201
t32607aep|SMYD4_PONAB,0.14428538214274
t37484aep|HMP_OCEIH,0.0173720066940683
t32600aep|TRPA1_CAEEL,0.00316526892364594
t32609aep|OPTN_DANRE,0.497226135433957
t32590aep|SGSM1_MOUSE,0.0542983078158866
t32601aep|CYTSA_DANRE,0.71420230900817
t35655aep|NPHP3_HUMAN,0.253199958640018
t35668aep|RTBS_DROME,0.0188362038015068
t35676aep|ANK3_HUMAN,0.0868143762167706
t31412aep|FND3A_HUMAN,0.356682684152779
t31393aep|MEC2_CAEEL,0.250374732262237
t31400aep|WDR93_HUMAN,0.020945388543305
t31425aep|RTBS_DROME,0.176159178636243
t31407aep|TRF6A_XENLA,0.0963141626299762
t31408aep|TRF6A_XENLA,0.0586503186329595
t31419aep|ISPD_XENTR,0.0234855987209136
t31410aep|ANKF1_HUMAN,0.220450599927765
t31430aep|ARGI1_HUMAN,4.62890229055907
t37485aep|UN93L_DROME,0.0188362038015068
t37791aep|Y381_RICFE,0.902540641905818
t37782aep|EMAL4_XENTR,0.163382615781009
t37779aep|TRAF3_MOUSE,0.47040079300932
t37792aep|LACE1_HUMAN,0.0218300500061746
t37798aep|HMCN1_HUMAN,0.78281937788461
t37803aep|SPNS1_DANRE,0.21416873522627
t35794aep|SNX7_HUMAN,0.273374947004863
t35821aep|RTXE_DROME,0.0188362038015068
t35786aep|AP1G_DICDI,0.00115203235414646
t35818aep|TCB2_CAEBR,0.0188362038015068
t35785aep|KCNA1_RAT,0.0188362038015068
t35823aep|FYCO1_MOUSE,0.163480385313023
t34507aep|SAMD9_HUMAN,0.0267855549265327
t34523aep|K1468_XENTR,0.0112492329512399
t34517aep|ATG9A_PONAB,0.255113443949021
t34502aep|TCB1_CAEBR,0.0188362038015068
t34493aep|VPP1_MOUSE,0.137109645635096
t34530aep|ZN862_HUMAN,0.0188362038015068
t34497aep|CHIT3_DROME,1.75401451993914
t34536aep|NALP7_HUMAN,0.0708813373779077
t34538aep|NAL12_HUMAN,0.234077444997994
t37154aep|MRC1_HUMAN,0.0188362038015068
t37155aep|MRC1_MOUSE,0.0321183890761384
t37152aep|MACF1_HUMAN,0.0349854667987748
t36793aep|CUBN_HUMAN,0.668797049359088
t36798aep|ASCC3_CHICK,0.0503438300718185
t36774aep|GGT1_RAT,2.34720578421727
t36775aep|ANKE1_HUMAN,0.632533324338033
t36802aep|LRK1_CAEEL,0.00535491550126358
t36771aep|TM175_DANRE,0.593603257697822
t31783aep|DMBT1_RABIT,0.0131751234323554
t31816aep|TSP1_XENLA,0.0281768245960634
t31812aep|ARHGI_MOUSE,1.20470491187475
t31787aep|KLC4_HUMAN,0.0375607669004311
t36126aep|RTXE_DROME,0.0188362038015068
t36128aep|CAH2_TRIHK,1.12032260669759
t36100aep|ADD_ENTFA,0.0188362038015068
t36104aep|SDK1_HUMAN,0.111301498843306
t31319aep|RTXE_DROME,0.0375607669004311
t31320aep|NALP7_HUMAN,0.023852836065152
t31345aep|RAB1B_ARATH,0.186059260508804
t31303aep|AB1IP_CHICK,0.208341693669154
t31346aep|MGT4A_RAT,0.0746832700328805
t31333aep|WSDU1_DANRE,0.290898368185371
t31334aep|WASP_HUMAN,0.192945162822614
t37266aep|HARB1_HUMAN,0.0850770358073739
t37270aep|CUBN_RAT,0.77914967260595
t37310aep|TMC7_HUMAN,0.10433168216375
t37309aep|WHRN_HUMAN,0.0154875265747021
t37272aep|ZBED1_HUMAN,0.0375607669004311
t37271aep|AT133_HUMAN,0.0188362038015068
t37307aep|SPTCS_HUMAN,0.0261374151669143
t37243aep|PK2L1_MOUSE,0.0121164168279769
t37283aep|GABT_HUMAN,0.303772353836053
t37256aep|PTPRS_RAT,0.0188362038015068
t31525aep|HOBOT_DROME,0.00500124494841514
t31534aep|RTXE_DROME,0.0188362038015068
t31519aep|PLDX1_MOUSE,0.00820654347291853
t34403aep|WDFY3_MOUSE,0.051399643622185
t34405aep|RTXE_DROME,0.0375607669004311
t34387aep|YDJC_MOUSE,0.0397314532645812
t34397aep|ZBED1_HUMAN,0.0375607669004311
t34398aep|ZBED1_HUMAN,0.0561757779084395
t34361aep|QRFPR_HUMAN,0.500426272433445
t34366aep|PLCL_MYTGA,0.0093596645773101
t32564aep|AVIL_HUMAN,0.0225430340047739
