t26386aep|MARH6_MOUSE,0.052780366148065
t7550aep|PK1IP_DANRE,0.170943010795435
t7554aep|TMEM9_HUMAN,0.078836163896565
t26395aep|DYHC_TRIGR,0.0837642380369435
t26394aep|TMED7_HUMAN,0.0443369239537052
t19697aep|RERE_HUMAN,0.0633932522605868
t19685aep|UBAC1_XENTR,0.0468562533402966
t29715aep|CDK14_CALJA,0.0968901143780742
t19690aep|DPP9_MOUSE,0.178942005433246
t19681aep|SPIR2_HUMAN,0.435477320421162
t29726aep|SKAP2_TAKRU,0.283856030086011
t19677aep|MEP1B_HUMAN,0.0966889771748318
t29729aep|OFD1_DANRE,0.219191393822305
t29731aep|PGM2_PONAB,0.0398442499671804
t24866aep|HMCN2_HUMAN,0.180828022436789
t3269aep|HCFC1_MESAU,0.0118932687934332
t3267aep|ROGDI_DANRE,0.0526094160449282
t3271aep|IGS10_HUMAN,1.40696383479047
t3257aep|MAX_HUMAN,0.0139679822124124
t24865aep|AGRB3_MOUSE,0.0750062754070446
t26170aep|POSTN_MOUSE,0.238845153106837
t18765aep|EAA1_HUMAN,0.180828022436789
t25706aep|PRFA_POLPE,0.850500668662682
t25708aep|BET1L_DANRE,0.171023157363741
t30407aep|ABCA3_MOUSE,0.127015350589031
t12900aep|PIGU_RAT,0.078785746084296
t17914aep|PLCD_PONAB,0.0523357305911859
t29235aep|RSG1_XENTR,0.062846470894494
t26278aep|TREF1_HUMAN,0.00248548873011089
t7309aep|STX6_PONAB,0.206852693484187
t7291aep|ALDOA_RAT,0.700368585702488
t7281aep|CASP3_PANTR,0.157371466952695
t7297aep|CO4A2_ASCSU,0.0417321901136719
t7287aep|ING3_MOUSE,0.0154149296427246
t7282aep|HMMR_RAT,0.0313287049619348
t4564aep|XBP1_MOUSE,0.644331028114967
t4527aep|WASF3_MOUSE,1.01194231577401
t18733aep|E2F7_BOVIN,0.106213774895889
t28181aep|LMOD3_DANRE,0.102188922456823
t13948aep|SC11C_MOUSE,0.12023127420563
t13969aep|SORCN_PONAB,0.0202758871055915
t13958aep|Y1388_SYNY3,0.397484327519925
t13979aep|ERG_HUMAN,0.574720280027153
t14948aep|DJC14_MOUSE,0.0101558897477181
t1214aep|ENY2_XENTR,0.0810277009809065
t1197aep|SP17_RABIT,0.478808829779999
t24177aep|TRAF4_HUMAN,1.11092762731389
t18829aep|HPCL1_SHEEP,0.975336670164062
t1204aep|DJC12_RAT,0.0522757364741245
t23544aep|PRY1_YEAST,0.169002238227162
t23523aep|CALM_DICDI,0.0966889771748318
t23537aep|PMM_SOYBN,0.153062684525596
t31071aep|KITH_CHICK,0.0507656267441884
t31065aep|CC50A_MOUSE,0.20425882137535
t23516aep|KAPCA_HUMAN,0.564411055139042
t31061aep|SENP1_HUMAN,0.0698606030431529
t23519aep|T2EB_XENLA,0.0072636003303701
t10099aep|TM143_BOVIN,0.0304148417317885
t10102aep|CETN1_BOVIN,0.555223600896919
t26957aep|NDEL1_CHICK,0.153604766981668
t10100aep|SEN15_ASHGO,0.158125842211848
t26958aep|CPNE3_HUMAN,0.263809178118531
t18851aep|CDK20_DANRE,0.0835234850174465
t24351aep|FUT11_RAT,0.187838442028669
t1902aep|CB5D1_DANRE,0.020514108698084
t24346aep|TTC9C_MACFA,0.00672490953508691
t1877aep|ZN347_HUMAN,0.134348513555745
t1873aep|P4HA1_PONAB,0.440781011128495
t11075aep|PFKAM_HUMAN,0.141733276150229
t11069aep|ARP19_XENTR,0.229528148867344
t27344aep|TDRKH_MOUSE,0.201150270550089
t11081aep|SPAG6_MOUSE,0.0323216122402479
t11090aep|ATRN1_MOUSE,0.141303425636842
t11055aep|LWA_HYDEC,1.57634912686759
t11083aep|FBX8_MOUSE,0.179961965093518
t11085aep|CASP7_HUMAN,0.098254677124568
t11063aep|G3ST3_MOUSE,0.0966889771748318
t3687aep|TSN11_HUMAN,0.220675906513954
t3677aep|RTF2_HUMAN,0.110332866818988
t3654aep|TM186_BOVIN,0.0511006438045894
t3699aep|TTC23_HUMAN,0.0852612801856128
t3671aep|B3GL2_XENLA,0.0763950299599006
t25052aep|MET10_DANRE,0.0481921760478548
t35aep|ARF6_CHICK,0.0948505152705178
t27aep|CCD97_MOUSE,0.135825719973056
t2aep|NEK7_MOUSE,0.248374882386451
t1aep|NAS4_CAEEL,0.0966889771748318
t23853aep|FAT4_HUMAN,0.0511256984741164
t4aep|E2F5_HUMAN,0.0518348283119376
t17597aep|CEL2A_PIG,0.0966889771748318
t29194aep|DYST_HUMAN,0.28455353950737
t17596aep|ZRAN1_HUMAN,0.288971087054768
t17583aep|NPL4_HUMAN,0.117436488476229
t17570aep|LRC40_CHICK,0.0497231838898927
t17605aep|PP1B_XENTR,0.10171804757328
t29189aep|ANPRA_MOUSE,0.158843735171576
t17607aep|LRC73_HUMAN,1.25170305262281
t30269aep|ZN511_DANRE,0.0689840612605366
t20788aep|TAF4_HUMAN,0.10819141174985
t30281aep|REEP2_MOUSE,0.556506568580067
t12648aep|DUT_HUMAN,0.0154251862435207
t12111aep|UBP8_HUMAN,0.190321494861281
t27582aep|MED15_HUMAN,0.0204024520224437
t12110aep|EMC7_HUMAN,0.36310182061809
t27581aep|AGRG4_MOUSE,0.0154251862435207
t12108aep|STXB4_MOUSE,0.919530624888739
t27585aep|DRD1_PIG,0.274077244161845
t13603aep|DIAP3_MOUSE,0.00687144431621541
t16631aep|POMT1_DROME,0.0299699082600719
t12673aep|OSCP1_RAT,0.0187177577358917
t12654aep|TCPD_RAT,0.0966889771748318
t16624aep|FKB14_MOUSE,0.0500049277889732
t16609aep|ACOX_SYNY3,0.020715873974394
