t32140aep|RAD2B_ARATH,0.00243499723518099
t32147aep|DDX10_HUMAN,0.255197006971362
t32143aep|RN212_MOUSE,0.0079049884928549
t37191aep|DUR1_LACKL,0.00263115248132942
t37177aep|MDC1_RAT,0.0112669224374801
t37182aep|HMCN1_HUMAN,0.00263115248132942
t37192aep|FBXW2_MOUSE,0.0159240894280645
t37187aep|CDK7_HUMAN,0.0538432596347901
t37178aep|MSH3_MOUSE,0.0211567756060533
t38442aep|SMC1A_HUMAN,0.114717576668792
t38440aep|AGGF1_MOUSE,0.0700895774133448
t38435aep|DHX9_XENLA,0.489827228492039
t36572aep|NLR1A_MOUSE,0.0523180883050093
t36568aep|POL_SIVEK,0.00263115248132942
t36571aep|FL2D_DANRE,0.126902163735623
t36569aep|BCD1_PONAB,0.102385815648284
t36564aep|D19L3_HUMAN,0.0581897293107298
t36557aep|DHSO_BOVIN,0.525593484948442
t36736aep|ARP8_SALSA,0.0614781084103093
t36749aep|NEMP1_XENTR,0.0212599348599161
t36744aep|ZER1_HUMAN,0.0181057696454549
t36735aep|S30BP_HUMAN,0.0136133693855907
t38619aep|AL8A1_DANRE,0.0863732415571729
t38616aep|G3ST1_HUMAN,0.00526614911684996
t38621aep|MOCS3_AEDAE,0.066541451358362
t34473aep|PGBD4_HUMAN,0.00526614911684996
t34467aep|GAPR1_MOUSE,0.2905190619369
t34486aep|CHSTC_XENLA,0.110120388066448
t34465aep|NPHP4_MOUSE,0.000707476568308876
t34476aep|Y1199_DICDI,0.0079049884928549
t34475aep|LRIG2_HUMAN,0.0054683182066756
t34481aep|PYM1_BOVIN,0.0649240522521302
t34464aep|RUSD4_HUMAN,0.0374491386976328
t34477aep|HGH1_DROME,0.149020044486914
t34674aep|KI16B_MOUSE,0.0183133135889823
t34669aep|CK070_BOVIN,0.049551698377192
t34682aep|IPMK_HUMAN,0.345237225035354
t33393aep|TEAN2_MOUSE,0.0509526091729735
t37722aep|MEGF8_RAT,0.0158959642053945
t37731aep|S17A9_MOUSE,0.0131941897118008
t37729aep|KPCD3_MOUSE,0.488978045766741
t37717aep|TSAL_GEOSL,0.11533409234541
t32502aep|MKS3_RAT,0.0079049884928549
t32514aep|NPHP1_CANLF,0.0562292529319654
t32518aep|PTHD3_MOUSE,0.0595978714346742
t32517aep|IRF8_HUMAN,0.0187940472762738
t32496aep|CNR1A_TAKRU,0.160294601528361
t32498aep|KLC4_BOVIN,0.00263115248132942
t32515aep|ZFY26_BOVIN,0.000778245644011316
t32494aep|RBM45_MOUSE,0.128967116676638
t32513aep|MRC2_HUMAN,0.00263115248132942
t32516aep|DTNB_MOUSE,0.0942771274650138
t32512aep|ACSF4_HUMAN,0.0262588950529663
t32501aep|GPMI_ONCVO,0.328317083677977
t36976aep|WBS22_MOUSE,0.0981663209099097
t36977aep|ECT_ACRMI,0.795315139774403
t36990aep|TV23B_BOVIN,0.157448372636977
