t34497aep|CHIT3_DROME,0.00399244777471532
t37125aep|RTXE_DROME,0.0183616565381938
t37135aep|TRI37_MOUSE,0.0913438135991509
t37155aep|MRC1_MOUSE,0.00374837843221929
t37141aep|NBR1_ARATH,0.0091907562565118
t37136aep|MRE11_RAT,0.379052724200987
t37161aep|CFA69_PAPAN,0.00392487291823299
t37164aep|PSD10_DICDI,0.0158462957919468
t36793aep|CUBN_HUMAN,0.0275128691562602
t36805aep|SZT2_MOUSE,0.0091907562565118
t36817aep|TC1A_CAEEL,0.0091907562565118
t36775aep|ANKE1_HUMAN,0.0317259633541081
t36784aep|TYW1_MOUSE,0.245011342355525
t36785aep|PGBD4_HUMAN,0.0091907562565118
t36809aep|CE104_HUMAN,0.0458573368486951
t31809aep|KPCA_RAT,0.00041303387874116
t31783aep|DMBT1_RABIT,6.42167610501116
t31796aep|GTSF1_BOVIN,0.283926199432955
t36091aep|F166B_XENTR,0.131409480693708
t36100aep|ADD_ENTFA,0.0275128691562602
t36116aep|BRCA1_MOUSE,0.133013169706858
t36104aep|SDK1_HUMAN,0.0170084621154415
t36094aep|ZN622_MOUSE,0.246058975655108
t36101aep|LIN1_NYCCO,0.0091907562565118
t31311aep|NPA1P_HUMAN,0.0652150750269256
t31322aep|PGBD3_HUMAN,0.0183616565381938
t31361aep|COPIA_DROME,0.0091907562565118
t31335aep|AT132_HUMAN,0.0183616565381938
t31354aep|CA2D4_HUMAN,0.0121102781549948
t31338aep|RTBS_DROME,0.0091907562565118
t31303aep|AB1IP_CHICK,0.15030480060649
t31318aep|PRKDC_CANLF,0.0091907562565118
t31358aep|UBX11_RAT,0.0993343871563597
t31333aep|WSDU1_DANRE,0.00222283671486694
t37266aep|HARB1_HUMAN,0.0539136175235941
t37270aep|CUBN_RAT,0.0183616565381938
t37308aep|RTBS_DROME,0.0183616565381938
t31485aep|TOR1A_MACFA,0.346472722418717
t31480aep|KCNB2_MOUSE,0.0091907562565118
t31525aep|HOBOT_DROME,0.0734583338594248
t31517aep|PTPRE_RAT,0.0091907562565118
t31534aep|RTXE_DROME,0.0183616565381938
t31547aep|CNTRB_MOUSE,0.00721679529508072
t31545aep|NEK10_MOUSE,0.17408764348516
t31502aep|FGFR3_CHICK,0.0091907562565118
